hole_id,depth_m,structure_type,inferred_dip_deg,assumed_dip_azimuth
17HR-277,215.0,CON,51.0,46.9
17HR-277,222.0,CON,41.7,69.8
17HR-277,280.0,CON,41.6,53.3
17HR-277,290.0,CON,55.2,69.8
17HR-277,310.0,CON,63.2,63.7
17HR-277,316.0,CON,63.9,68.6
17HR-277,341.0,CON,59.1,65.0
17HR-277,355.7,CON,39.7,63.9
17HR-277,357.2,CON,37.1,57.0
17HR-277,34.0,VN,50.8,72.7
17HR-277,73.0,VN,35.2,54.2
17HR-277,107.0,VN,37.3,42.6
17HR-277,169.0,VN,35.4,42.7
17HR-277,227.0,VN,60.5,46.5
17HR-277,329.0,VN,37.3,48.9
17HR-278,6.0,CON,35.2,47.4
17HR-278,59.0,CON,63.4,41.8
17HR-278,130.3,CON,37.8,40.4
17HR-278,141.7,CON,38.3,48.9
17HR-278,167.2,CON,45.4,57.5
17HR-278,495.0,CON,37.4,53.1
17HR-278,499.1,CON,54.9,68.5
17HR-278,504.5,CON,57.7,66.4
17HR-278,506.0,CON,57.7,48.6
17HR-278,545.0,CON,57.1,41.7
17HR-278,554.0,CON,60.6,57.7
17HR-278,11.0,VN,65.7,45.1
17HR-278,138.0,VN,33.5,62.4
17HR-278,285.0,VN,47.2,47.3
17HR-278,370.0,VN,57.5,52.7
17HR-278,409.0,VN,62.4,47.8
17HR-278,475.0,VN,68.4,60.4
17HR-278,515.0,VN,41.7,43.0
17HR-278,538.0,VN,30.7,60.9
17HR-278,575.0,VN,66.1,64.2
17HR-279,2.0,CON,46.9,51.0
17HR-279,114.5,CON,43.9,61.7
17HR-279,121.0,CON,56.9,60.3
17HR-279,132.0,CON,51.8,40.0
17HR-279,134.0,CON,36.0,58.0
17HR-279,138.0,CON,37.6,45.6
17HR-279,141.0,CON,45.3,69.3
17HR-279,144.0,CON,49.5,55.1
17HR-279,148.0,CON,55.2,45.1
17HR-279,152.5,CON,35.1,67.6
17HR-279,155.0,CON,58.5,67.9
17HR-279,174.0,CON,60.7,62.8
17HR-279,176.0,CON,39.4,69.3
17HR-279,183.5,CON,48.2,53.0
17HR-279,185.0,CON,55.2,55.0
17HR-279,197.0,CON,64.0,57.8
17HR-279,214.0,CON,42.5,51.9
17HR-279,230.0,CON,55.4,53.6
17HR-279,264.0,CON,42.0,43.6
17HR-279,344.0,CON,49.3,40.3
17HR-279,350.0,CON,41.4,49.5
17HR-279,353.6,CON,52.6,60.3
17HR-280,4.0,CON,49.5,53.7
17HR-280,35.1,CON,64.6,52.9
17HR-280,39.0,CON,41.3,51.5
17HR-280,40.4,CON,35.4,65.1
17HR-280,43.0,CON,41.3,56.7
17HR-280,46.5,CON,48.1,46.4
17HR-280,63.0,CON,57.2,50.1
17HR-280,112.0,CON,58.5,65.4
17HR-281,7.0,CON,51.5,63.4
17HR-281,28.0,CON,57.6,45.9
17HR-281,91.0,CON,58.6,54.7
17HR-281,105.0,CON,54.9,69.1
17HR-281,121.5,CON,51.3,59.6
17HR-281,140.0,CON,55.6,65.7
17HR-281,195.7,CON,63.4,63.0
17HR-281,436.0,VN,73.9,44.0
17HR-281,464.0,VN,47.6,46.9
17HR-281,549.0,VN,45.4,58.7
17HR-281,571.0,VN,41.6,54.9
17HR-282,3.0,CON,41.3,46.7
17HR-282,152.0,CON,59.5,68.1
17HR-282,155.0,CON,62.9,61.8
17HR-282,221.7,CON,61.6,62.5
17HR-282,246.8,CON,56.3,58.0
17HR-282,48.0,VN,61.5,65.4
17HR-282,99.0,VN,53.6,42.7
17HR-282,180.0,VN,45.2,75.0
17HR-282,239.0,VN,42.6,68.2
17HR-282,388.0,VN,44.7,52.9
17HR-283,3.0,CON,40.6,62.6
17HR-283,40.5,CON,35.9,63.2
17HR-283,48.0,CON,51.7,58.3
17HR-283,62.6,CON,49.8,57.4
17HR-283,110.7,CON,60.3,47.9
17HR-283,144.0,CON,59.0,47.9
17HR-284,4.3,CON,36.0,62.9
17HR-284,25.0,CON,50.4,51.7
17HR-284,113.9,CON,43.3,40.2
17HR-284,119.2,CON,36.6,53.6
17HR-284,213.0,CON,57.9,43.4
17HR-284,360.1,CON,65.0,62.5
17HR-284,389.9,CON,35.7,47.2
17HR-284,29.0,VN,69.2,49.5
17HR-284,57.0,VN,46.4,43.9
17HR-284,103.0,VN,61.4,51.0
17HR-284,175.0,VN,74.0,71.9
17HR-284,193.0,VN,52.7,63.0
17HR-284,216.0,VN,59.9,74.7
17HR-284,229.0,VN,53.0,61.4
17HR-284,290.0,VN,65.9,43.4
17HR-284,306.0,VN,65.2,48.6
17HR-284,324.0,VN,42.8,53.9
17HR-284,393.0,VN,70.2,55.7
17HR-284,420.0,VN,50.3,53.0
17HR-284,443.0,VN,65.9,50.6
17HR-285,6.7,CON,39.3,54.4
17HR-285,41.5,CON,39.4,56.7
17HR-285,100.5,CON,45.2,49.8
17HR-285,128.0,CON,40.8,53.3
17HR-285,144.4,CON,58.4,65.6
17HR-285,167.0,CON,50.7,60.2
17HR-285,185.0,CON,35.3,51.7
17HR-285,326.0,CON,64.8,58.1
17HR-285,389.3,CON,47.5,40.5
17HR-285,397.0,CON,61.3,44.4
17HR-285,411.0,CON,48.7,61.4
17HR-285,420.0,CON,41.4,45.2
17HR-285,123.0,VN,73.2,60.2
17HR-285,147.0,VN,60.5,65.3
17HR-285,170.0,VN,58.3,36.1
17HR-285,196.0,VN,68.2,43.2
17HR-285,232.0,VN,51.4,48.8
17HR-285,253.0,VN,48.6,54.6
17HR-285,267.0,VN,60.5,69.0
17HR-285,302.0,VN,63.8,50.2
17HR-285,397.0,VN,42.8,41.9
17HR-286,2.9,CON,54.6,57.5
17HR-286,236.2,CON,51.8,57.7
17HR-286,249.0,CON,46.7,46.8
17HR-286,100.0,VN,55.4,39.8
17HR-286,150.0,VN,38.7,47.6
17HR-286,182.0,VN,42.2,67.0
17HR-286,246.0,VN,64.6,42.4
17HR-287,3.0,CON,64.8,60.3
17HR-287,45.5,CON,37.0,50.3
17HR-287,73.0,CON,45.4,47.4
17HR-287,135.5,CON,42.5,57.5
17HR-287,164.0,CON,37.4,46.0
17HR-287,202.0,CON,64.8,48.4
17HR-287,255.6,CON,49.1,55.7
17HR-287,275.4,CON,47.0,50.6
17HR-287,528.0,CON,64.8,53.9
17HR-287,579.0,CON,62.2,69.3
17HR-287,590.0,CON,42.6,41.4
17HR-287,622.0,CON,62.4,45.6
17HR-287,137.0,VN,47.0,52.2
17HR-287,169.0,VN,52.9,52.4
17HR-287,206.0,VN,55.4,42.7
17HR-287,361.0,VN,62.5,38.0
17HR-287,439.0,VN,74.3,48.7
17HR-287,457.0,VN,46.3,65.4
17HR-288,63.7,CON,62.0,48.1
17HR-288,73.8,CON,42.5,64.8
17HR-288,171.0,CON,40.4,64.5
17HR-288,16.0,VN,56.2,47.2
17HR-288,106.0,VN,49.1,60.8
17HR-288,148.0,VN,59.9,69.5
17HR-288,172.0,VN,74.9,69.5
17HR-288,214.0,VN,69.4,67.8
17HR-288,226.0,VN,54.8,60.3
17HR-289,7.6,CON,49.6,60.2
17HR-289,24.7,CON,59.3,53.8
17HR-289,30.8,CON,52.9,48.6
17HR-289,35.0,CON,36.8,43.1
17HR-289,173.0,CON,55.4,42.3
17HR-289,12.0,VN,40.4,36.3
17HR-289,32.0,VN,38.5,58.3
17HR-289,59.0,VN,58.2,46.5
17HR-289,105.0,VN,43.2,73.3
17HR-289,144.0,VN,49.9,47.6
17HR-289,177.0,VN,60.0,69.2
17HR-290,3.6,CON,43.0,42.8
17HR-290,10.5,CON,40.9,67.2
17HR-290,56.0,CON,43.0,40.4
17HR-290,60.3,CON,38.2,58.0
17HR-290,144.0,CON,59.5,66.1
17HR-290,145.6,CON,46.3,59.4
17HR-290,149.4,CON,37.4,69.9
17HR-290,240.0,CON,38.7,52.2
17HR-290,256.0,CON,39.6,63.5
17HR-290,280.6,CON,45.8,54.5
17HR-290,281.5,CON,39.6,46.8
17HR-290,379.5,CON,51.3,56.2
17HR-290,19.0,VN,43.1,39.0
17HR-290,44.0,VN,52.0,53.2
17HR-290,57.0,VN,41.3,46.9
17HR-290,78.0,VN,61.3,62.7
17HR-290,136.0,VN,37.6,61.7
17HR-290,190.0,VN,31.5,74.4
17HR-291,5.6,CON,54.4,44.9
17HR-291,110.8,CON,59.6,48.7
17HR-291,113.0,CON,62.0,49.7
17HR-291,132.3,CON,49.6,62.0
17HR-291,150.1,CON,62.0,57.1
17HR-291,180.0,CON,44.9,41.9
17HR-291,263.5,CON,44.9,42.9
17HR-291,276.7,CON,35.5,59.2
17HR-291,108.0,VN,45.3,42.1
17HR-291,170.0,VN,59.5,40.5
17HR-292,2.8,CON,35.3,64.6
17HR-292,18.0,CON,62.8,49.9
17HR-292,52.9,CON,62.8,42.2
17HR-292,54.9,CON,35.4,64.8
17HR-292,92.0,CON,51.4,49.5
17HR-292,98.9,CON,36.4,52.4
17HR-292,5.4,VN,35.2,48.2
17HR-292,23.0,VN,39.5,72.0
17HR-292,53.0,VN,36.3,45.9
17HR-292,105.0,VN,35.6,56.4
17HR-293,2.2,CON,36.4,63.2
17HR-293,92.8,CON,46.3,40.8
17HR-293,94.9,CON,35.8,55.5
17HR-293,110.3,CON,57.4,52.1
17HR-293,112.6,CON,61.7,51.7
17HR-293,24.0,VN,36.5,48.8
17HR-293,67.0,VN,35.1,68.0
17HR-293,100.0,VN,63.7,64.2
17HR-293,207.0,VN,52.3,37.8
17HR-293,230.0,VN,56.6,56.7
17HR-293,252.0,VN,43.5,57.4
17HR-293,285.0,VN,51.8,69.6
17HR-293,312.0,VN,53.8,37.1
17HR-293,342.0,VN,72.3,49.1
17HR-294,1.9,CON,54.3,50.6
17HR-294,9.5,CON,61.7,63.0
17HR-294,42.7,CON,37.5,42.6
17HR-294,86.0,CON,61.7,65.8
17HR-294,166.0,CON,39.0,69.9
17HR-294,207.9,CON,38.9,63.4
17HR-294,403.5,CON,42.5,53.3
17HR-294,27.0,VN,56.4,72.1
17HR-294,55.0,VN,41.3,36.3
17HR-294,94.0,VN,53.2,43.6
17HR-294,166.0,VN,45.4,58.2
17HR-295,3.0,CON,39.4,50.5
17HR-295,9.9,CON,36.2,57.4
17HR-295,14.2,CON,49.1,66.3
17HR-295,49.6,CON,37.0,65.0
17HR-295,216.5,CON,51.8,57.9
17HR-295,246.9,CON,60.1,59.2
17HR-295,6.0,VN,64.3,45.0
17HR-296,2.6,CON,36.5,68.7
17HR-296,13.1,CON,47.0,47.3
17HR-296,26.1,CON,47.6,61.6
17HR-296,180.0,CON,57.7,62.5
17HR-296,181.5,CON,49.9,40.5
17HR-296,189.0,CON,35.3,52.0
17HR-296,190.0,CON,45.5,60.0
17HR-296,388.0,CON,60.6,49.4
17HR-296,26.0,VN,55.3,50.4
17HR-296,95.0,VN,69.0,48.3
17HR-296,114.0,VN,52.8,43.3
17HR-296,167.0,VN,47.2,72.4
17HR-296,183.0,VN,31.2,40.2
17HR-297,2.2,CON,36.1,58.9
17HR-297,107.6,CON,41.3,65.3
17HR-297,196.4,CON,43.2,68.9
17HR-297,200.6,CON,60.5,41.9
17HR-297,211.0,CON,57.9,50.1
17HR-297,212.6,CON,64.8,52.2
17HR-297,217.0,CON,53.1,46.8
17HR-297,230.8,CON,53.0,67.5
17HR-297,283.8,CON,41.8,61.9
17HR-297,288.8,CON,54.1,62.6
17HR-297,295.1,CON,62.5,55.1
17HR-297,299.1,CON,54.0,69.6
17HR-297,317.7,CON,58.0,56.3
17HR-297,332.0,CON,37.0,45.4
17HR-297,18.0,VN,70.9,73.5
17HR-297,62.0,VN,44.4,56.0
17HR-297,104.0,VN,49.0,47.6
17HR-297,168.0,VN,46.6,48.8
17HR-297,208.0,VN,53.4,41.8
17HR-297,237.0,VN,38.8,72.5
17HR-297,265.0,VN,54.0,54.7
17HR-298,2.7,CON,54.4,60.9
17HR-298,7.8,CON,59.6,40.9
17HR-298,9.8,CON,43.2,52.3
17HR-298,11.7,CON,43.7,66.3
17HR-298,14.3,CON,62.2,40.5
17HR-298,20.7,CON,37.6,45.1
17HR-298,264.0,CON,41.3,65.0
17HR-298,327.2,CON,49.1,53.0
17HR-298,342.9,CON,60.0,41.5
17HR-298,344.8,CON,44.9,53.8
17HR-298,360.7,CON,35.1,59.6
17HR-298,13.0,VN,33.8,56.5
17HR-298,30.0,VN,38.8,60.1
17HR-298,107.0,VN,63.4,72.6
17HR-298,140.0,VN,39.2,39.3
17HR-298,175.0,VN,72.2,66.7
17HR-298,210.0,VN,73.4,45.9
17HR-298,233.0,VN,67.3,57.5
17HR-298,265.0,VN,68.7,63.0
17HR-298,280.0,VN,59.9,57.5
17HR-298,351.0,VN,56.9,59.5
17HR-299,2.2,CON,55.3,63.3
17HR-299,219.5,CON,63.8,49.7
17HR-299,269.9,CON,45.5,57.1
17HR-299,273.0,CON,62.0,63.8
17HR-299,26.0,VN,71.7,72.0
17HR-299,135.0,VN,64.6,63.9
17HR-299,175.0,VN,50.9,44.2
17HR-299,203.0,VN,50.9,47.6
17HR-299,220.0,VN,40.1,38.3
17HR-299,237.0,VN,34.5,59.5
17HR-299,272.0,VN,57.5,48.2
17HR-299,313.0,VN,44.3,46.4
17HR-299,346.0,VN,64.3,46.4
17HR-300,2.2,CON,37.2,49.5
17HR-300,20.0,CON,51.4,45.7
17HR-300,43.0,CON,52.4,43.9
17HR-300,146.6,CON,42.5,44.7
17HR-300,152.2,CON,49.0,69.9
17HR-300,159.8,CON,40.3,45.8
17HR-300,211.1,CON,38.8,65.5
17HR-300,215.3,CON,55.3,65.1
17HR-300,215.9,CON,47.0,44.8
17HR-300,222.5,CON,50.6,47.2
17HR-300,225.5,CON,39.9,57.1
17HR-300,226.1,CON,46.0,47.2
17HR-300,236.2,CON,61.4,44.4
17HR-300,268.3,CON,58.5,42.0
17HR-300,270.6,CON,58.5,68.9
17HR-300,313.3,CON,52.2,54.3
17HR-300,314.1,CON,44.5,64.6
17HR-300,343.9,CON,58.5,48.4
17HR-300,346.4,CON,56.3,50.7
17HR-300,357.5,CON,58.6,53.0
17HR-300,379.4,CON,60.5,41.2
17HR-300,407.0,CON,53.1,63.4
17HR-300,14.1,VN,71.4,66.0
17HR-300,41.0,VN,54.8,42.4
17HR-300,57.0,VN,66.6,38.6
17HR-300,103.0,VN,56.7,47.1
17HR-300,125.0,VN,58.1,56.0
17HR-300,173.0,VN,33.9,70.3
17HR-300,221.0,VN,52.9,37.0
17HR-300,239.0,VN,50.8,54.5
17HR-300,278.0,VN,39.8,46.6
17HR-300,314.0,VN,32.2,51.0
17HR-300,345.0,VN,45.1,38.4
17HR-300,361.0,VN,37.8,61.4
17HR-300,398.0,VN,43.4,69.9
17HR-301,3.4,CON,63.8,58.4
17HR-301,250.8,CON,63.1,63.6
17HR-301,288.2,CON,41.0,48.1
17HR-301,290.6,CON,35.4,64.1
17HR-301,299.0,CON,56.7,50.6
17HR-301,324.3,CON,47.3,57.1
17HR-301,326.3,CON,60.4,53.2
17HR-301,12.0,VN,36.7,49.7
17HR-301,59.0,VN,48.0,65.3
17HR-301,88.0,VN,69.8,74.6
17HR-301,158.0,VN,50.3,64.1
17HR-301,207.0,VN,68.2,60.5
17HR-301,265.0,VN,42.3,68.1
17HR-301,286.0,VN,35.7,42.0
17HR-301,314.0,VN,34.1,43.6
17HR-302,2.6,CON,53.4,62.7
17HR-302,210.3,CON,52.9,40.7
17HR-302,257.6,CON,61.6,58.9
17HR-302,270.6,CON,56.3,52.6
17HR-302,25.0,VN,59.8,68.8
17HR-302,39.0,VN,41.6,48.9
17HR-302,60.0,VN,67.0,38.7
17HR-302,82.0,VN,60.9,50.4
17HR-302,106.0,VN,63.4,58.2
17HR-302,143.0,VN,71.4,40.9
17HR-302,220.0,VN,40.3,55.7
17HR-302,260.0,VN,51.4,72.4
17HR-303,1.6,CON,53.5,60.0
17HR-303,21.0,CON,38.4,45.4
17HR-303,34.5,CON,62.2,52.0
17HR-303,118.5,CON,56.0,57.6
17HR-303,122.6,CON,45.8,60.5
17HR-303,297.0,CON,62.3,60.3
17HR-303,345.7,CON,55.3,67.4
17HR-303,394.6,CON,40.0,65.2
17HR-303,401.8,CON,57.2,65.4
17HR-303,422.1,CON,35.7,50.3
17HR-303,29.0,VN,66.3,40.6
17HR-303,103.0,VN,31.9,58.1
17HR-303,127.0,VN,30.4,53.5
17HR-303,185.0,VN,32.4,35.5
17HR-303,201.0,VN,51.9,71.2
17HR-303,219.0,VN,69.9,42.5
17HR-303,236.0,VN,73.9,40.5
17HR-303,273.0,VN,56.9,52.1
17HR-303,313.0,VN,47.8,60.6
17HR-303,350.0,VN,58.0,36.0
17HR-303,375.0,VN,32.6,45.5
17HR-304,2.8,CON,35.5,55.9
17HR-304,85.0,CON,56.0,69.6
17HR-304,88.3,CON,35.1,60.5
17HR-304,117.0,CON,39.7,68.3
17HR-304,120.8,CON,56.7,54.9
17HR-304,224.2,CON,64.8,40.8
17HR-304,225.0,CON,64.7,40.5
17HR-304,441.0,CON,44.7,52.8
17HR-304,474.4,CON,41.8,64.6
17HR-304,27.0,VN,55.6,48.4
17HR-304,70.0,VN,67.3,61.1
17HR-304,133.0,VN,44.3,52.6
17HR-304,152.0,VN,67.2,48.3
17HR-304,330.0,VN,56.1,42.1
17HR-304,355.0,VN,55.2,63.7
17HR-304,380.0,VN,74.2,36.8
17HR-304,410.0,VN,64.7,53.8
17HR-304,487.0,VN,64.0,71.0
