hole_id,from,to,assemblage
17HR-269,565.0,591.0,QSP
17HR-269,565.0,591.0,SIL
17HR-269,601.3,607.0,CHL
17HR-269,607.0,617.0,QSP
17HR-269,607.0,617.0,SIL
17HR-270,0,1.46,FRESH
17HR-270,1.5,26.3,PRO
17HR-270,26.3,36.6,CHL
17HR-270,36.6,42.6,QSP
17HR-270,36.6,42.6,SIL
17HR-270,52.9,58.0,CHL
17HR-270,58.0,70.0,QSP
17HR-270,58.0,70.0,SIL
17HR-270,85.1,80.0,CHL
17HR-270,80.0,90.0,QSP
17HR-270,80.0,90.0,SIL
17HR-270,102.3,119.2,PRO
17HR-270,119.2,132.0,CHL
17HR-270,132.0,134.0,QSP
17HR-270,132.0,134.0,SIL
17HR-270,146.8,148.0,CHL
17HR-270,148.0,150.0,QSP
17HR-270,148.0,150.0,SIL
17HR-270,163.6,200.1,PRO
17HR-270,200.1,209.0,CHL
17HR-270,209.0,211.0,QSP
17HR-270,209.0,211.0,SIL
17HR-270,219.9,227.0,CHL
17HR-270,227.0,229.0,QSP
17HR-270,227.0,229.0,SIL
17HR-270,244.4,314.6,PRO
17HR-270,314.6,326.0,CHL
17HR-270,326.0,347.0,QSP
17HR-270,326.0,347.0,SIL
17HR-270,358.4,360.0,CHL
17HR-270,360.0,392.0,QSP
17HR-270,360.0,392.0,SIL
17HR-270,403.8,420.0,PRO
17HR-271,0,1.82,FRESH
17HR-271,1.8,6.0,CHL
17HR-271,6.0,8.0,QSP
17HR-271,6.0,8.0,SIL
17HR-271,19.8,22.8,PRO
17HR-271,22.8,34.0,CHL
17HR-271,34.0,40.0,QSP
17HR-271,34.0,40.0,SIL
17HR-271,51.2,62.0,CHL
17HR-271,62.0,82.0,QSP
17HR-271,62.0,82.0,SIL
17HR-271,94.7,92.0,CHL
17HR-271,92.0,96.0,QSP
17HR-271,92.0,96.0,SIL
17HR-271,107.1,113.0,PRO
17HR-271,113.0,122.0,CHL
17HR-271,122.0,144.0,QSP
17HR-271,122.0,144.0,SIL
17HR-271,153.0,156.0,CHL
17HR-271,156.0,158.0,QSP
17HR-271,156.0,158.0,SIL
17HR-271,171.6,171.7,PRO
17HR-271,171.7,184.0,CHL
17HR-271,184.0,208.0,QSP
17HR-271,184.0,208.0,SIL
17HR-271,220.3,230.0,CHL
17HR-271,230.0,232.0,QSP
17HR-271,230.0,232.0,SIL
17HR-271,244.0,263.8,PRO
17HR-271,263.8,276.0,CHL
17HR-271,276.0,280.0,QSP
17HR-271,276.0,280.0,SIL
17HR-271,292.2,311.3,PRO
17HR-271,311.3,320.0,CHL
17HR-271,320.0,322.0,QSP
17HR-271,320.0,322.0,SIL
17HR-271,330.7,336.0,CHL
17HR-271,336.0,340.0,QSP
17HR-271,336.0,340.0,SIL
17HR-271,355.2,510.0,PRO
17HR-272,0.0,3.0,CHL
17HR-272,3.0,39.0,QSP
17HR-272,3.0,39.0,SIL
17HR-272,51.6,61.0,CHL
17HR-272,61.0,77.0,QSP
17HR-272,61.0,77.0,SIL
17HR-272,91.0,95.0,CHL
17HR-272,95.0,101.0,QSP
17HR-272,95.0,101.0,SIL
17HR-272,110.3,147.3,PRO
17HR-272,147.3,161.0,CHL
17HR-272,161.0,165.0,QSP
17HR-272,161.0,165.0,SIL
17HR-272,178.7,209.5,PRO
17HR-272,209.5,223.0,CHL
17HR-272,223.0,225.0,QSP
17HR-272,223.0,225.0,SIL
17HR-272,238.5,241.5,PRO
17HR-272,241.5,255.0,CHL
17HR-272,255.0,265.0,QSP
17HR-272,255.0,265.0,SIL
17HR-272,278.5,281.0,CHL
17HR-272,281.0,299.0,QSP
17HR-272,281.0,299.0,SIL
17HR-272,308.8,313.0,CHL
17HR-272,313.0,321.0,QSP
17HR-272,313.0,321.0,SIL
17HR-272,331.5,343.7,PRO
17HR-272,343.7,353.0,CHL
17HR-272,353.0,355.0,QSP
17HR-272,353.0,355.0,SIL
17HR-272,364.3,373.0,CHL
17HR-272,373.0,375.0,QSP
17HR-272,373.0,375.0,SIL
17HR-272,386.2,451.5,PRO
17HR-272,451.5,467.0,CHL
17HR-272,467.0,477.0,QSP
17HR-272,467.0,477.0,SIL
17HR-272,492.5,487.0,CHL
17HR-272,487.0,489.0,QSP
17HR-272,487.0,489.0,SIL
17HR-272,501.6,507.7,PRO
17HR-272,507.7,523.0,CHL
17HR-272,523.0,525.0,QSP
17HR-272,523.0,525.0,SIL
17HR-272,540.3,543.9,PRO
17HR-272,543.9,555.0,CHL
17HR-272,555.0,557.0,QSP
17HR-272,555.0,557.0,SIL
17HR-272,568.1,619.3,PRO
17HR-272,619.3,629.0,CHL
17HR-272,629.0,633.0,QSP
17HR-272,629.0,633.0,SIL
17HR-272,642.7,770.0,PRO
17HR-273,0,1.4,FRESH
17HR-273,1.4,13.0,CHL
17HR-273,13.0,27.0,QSP
17HR-273,13.0,27.0,SIL
17HR-273,41.7,48.4,PRO
17HR-273,48.4,59.0,CHL
17HR-273,59.0,75.0,QSP
17HR-273,59.0,75.0,SIL
17HR-273,85.6,87.0,CHL
17HR-273,87.0,101.0,QSP
17HR-273,87.0,101.0,SIL
17HR-273,113.2,115.8,PRO
17HR-273,115.8,129.0,CHL
17HR-273,129.0,141.0,QSP
17HR-273,129.0,141.0,SIL
17HR-273,154.2,205.0,PRO
17HR-273,205.0,215.0,CHL
17HR-273,215.0,219.0,QSP
17HR-273,215.0,219.0,SIL
17HR-273,229.0,237.0,CHL
17HR-273,237.0,239.0,QSP
17HR-273,237.0,239.0,SIL
17HR-273,251.9,362.0,PRO
17HR-274,0,1.1,FRESH
17HR-274,1.1,1.3,PRO
17HR-274,1.3,11.0,CHL
17HR-274,11.0,23.0,QSP
17HR-274,11.0,23.0,SIL
17HR-274,32.7,41.0,CHL
17HR-274,41.0,43.0,QSP
17HR-274,41.0,43.0,SIL
17HR-274,56.9,89.8,PRO
17HR-274,89.8,105.0,CHL
17HR-274,105.0,107.0,QSP
17HR-274,105.0,107.0,SIL
17HR-274,122.2,127.0,CHL
17HR-274,127.0,129.0,QSP
17HR-274,127.0,129.0,SIL
17HR-274,144.1,146.5,PRO
17HR-274,146.5,161.0,CHL
17HR-274,161.0,173.0,QSP
17HR-274,161.0,173.0,SIL
17HR-274,187.5,183.0,CHL
17HR-274,183.0,195.0,QSP
17HR-274,183.0,195.0,SIL
17HR-274,210.6,207.0,CHL
17HR-274,207.0,209.0,QSP
17HR-274,207.0,209.0,SIL
17HR-274,220.6,231.0,CHL
17HR-274,231.0,239.0,QSP
17HR-274,231.0,239.0,SIL
17HR-274,249.7,252.2,PRO
17HR-274,252.2,265.0,CHL
17HR-274,265.0,279.0,QSP
17HR-274,265.0,279.0,SIL
17HR-274,291.8,299.0,PRO
17HR-275,0,1.67,FRESH
17HR-275,1.7,20.2,PRO
17HR-275,20.2,31.0,CHL
17HR-275,31.0,57.0,QSP
17HR-275,31.0,57.0,SIL
17HR-275,67.8,71.0,PRO
17HR-275,71.0,83.0,CHL
17HR-275,83.0,85.0,QSP
17HR-275,83.0,85.0,SIL
17HR-275,97.0,97.0,CHL
17HR-275,97.0,109.0,QSP
17HR-275,97.0,109.0,SIL
17HR-275,117.8,127.0,CHL
17HR-275,127.0,139.0,QSP
17HR-275,127.0,139.0,SIL
17HR-275,148.9,150.0,PRO
17HR-275,150.0,161.0,CHL
17HR-275,161.0,167.0,QSP
17HR-275,161.0,167.0,SIL
17HR-275,178.0,185.0,CHL
17HR-275,185.0,189.0,QSP
17HR-275,185.0,189.0,SIL
17HR-275,201.0,222.9,PRO
17HR-275,222.9,235.0,CHL
17HR-275,235.0,237.0,QSP
17HR-275,235.0,237.0,SIL
17HR-275,249.1,256.0,PRO
17HR-275,256.0,271.0,CHL
17HR-275,271.0,281.0,QSP
17HR-275,271.0,281.0,SIL
17HR-275,296.0,295.0,CHL
17HR-275,295.0,305.0,QSP
17HR-275,295.0,305.0,SIL
17HR-275,313.5,371.0,PRO
17HR-276,0,6.4,FRESH
17HR-276,6.4,22.5,PRO
17HR-276,22.5,36.0,CHL
17HR-276,36.0,38.0,QSP
17HR-276,36.0,38.0,SIL
17HR-276,51.5,91.3,PRO
17HR-276,91.3,100.0,CHL
17HR-276,100.0,102.0,QSP
17HR-276,100.0,102.0,SIL
17HR-276,110.7,122.7,PRO
17HR-276,122.7,132.0,CHL
17HR-276,132.0,142.0,QSP
17HR-276,132.0,142.0,SIL
17HR-276,151.3,159.1,PRO
17HR-276,159.1,172.0,CHL
17HR-276,172.0,176.0,QSP
17HR-276,172.0,176.0,SIL
17HR-276,188.9,190.0,CHL
17HR-276,190.0,206.0,QSP
17HR-276,190.0,206.0,SIL
17HR-276,217.5,372.7,PRO
17HR-276,372.7,382.0,CHL
17HR-276,382.0,386.0,QSP
17HR-276,382.0,386.0,SIL
17HR-276,395.3,400.0,CHL
17HR-276,400.0,402.0,QSP
17HR-276,400.0,402.0,SIL
17HR-276,414.1,427.5,PRO
17HR-276,427.5,436.0,CHL
17HR-276,436.0,476.0,QSP
17HR-276,436.0,476.0,SIL
17HR-276,484.5,488.6,PRO
17HR-276,488.6,498.0,CHL
17HR-276,498.0,500.0,QSP
17HR-276,498.0,500.0,SIL
17HR-277,0,4.0,FRESH
17HR-277,4.0,14.0,CHL
17HR-277,14.0,54.0,QSP
17HR-277,14.0,54.0,SIL
17HR-277,66.8,70.0,CHL
17HR-277,70.0,76.0,QSP
17HR-277,70.0,76.0,SIL
17HR-277,85.8,91.8,PRO
17HR-277,91.8,104.0,CHL
17HR-277,104.0,110.0,QSP
17HR-277,104.0,110.0,SIL
17HR-277,122.2,151.1,PRO
17HR-277,151.1,162.0,CHL
17HR-277,162.0,176.0,QSP
17HR-277,162.0,176.0,SIL
17HR-277,186.9,211.1,PRO
17HR-277,211.1,226.0,CHL
17HR-277,226.0,228.0,QSP
17HR-277,226.0,228.0,SIL
17HR-277,242.9,315.8,PRO
17HR-277,315.8,328.0,CHL
17HR-277,328.0,330.0,QSP
17HR-277,328.0,330.0,SIL
17HR-277,342.2,405.0,PRO
17HR-278,0,6.0,FRESH
17HR-278,6.0,8.0,CHL
17HR-278,8.0,14.0,QSP
17HR-278,8.0,14.0,SIL
17HR-278,25.1,124.5,PRO
17HR-278,124.5,134.0,CHL
17HR-278,134.0,142.0,QSP
17HR-278,134.0,142.0,SIL
17HR-278,151.5,273.1,PRO
17HR-278,273.1,284.0,CHL
17HR-278,284.0,286.0,QSP
17HR-278,284.0,286.0,SIL
17HR-278,296.9,353.2,PRO
17HR-278,353.2,368.0,CHL
17HR-278,368.0,372.0,QSP
17HR-278,368.0,372.0,SIL
17HR-278,386.8,393.7,PRO
17HR-278,393.7,408.0,CHL
17HR-278,408.0,410.0,QSP
17HR-278,408.0,410.0,SIL
17HR-278,424.3,438.9,PRO
17HR-278,438.9,448.0,CHL
17HR-278,448.0,502.0,QSP
17HR-278,448.0,502.0,SIL
17HR-278,511.1,512.0,CHL
17HR-278,512.0,518.0,QSP
17HR-278,512.0,518.0,SIL
17HR-278,529.8,528.0,CHL
17HR-278,528.0,548.0,QSP
17HR-278,528.0,548.0,SIL
17HR-278,557.9,568.0,CHL
17HR-278,568.0,582.0,QSP
17HR-278,568.0,582.0,SIL
17HR-278,593.4,630.3,PRO
17HR-279,0.0,357.0,PRO
17HR-280,0,4.0,FRESH
17HR-280,4.0,129.0,PRO
17HR-281,0,7.0,FRESH
17HR-281,7.0,417.8,PRO
17HR-281,417.8,430.0,CHL
17HR-281,430.0,442.0,QSP
17HR-281,430.0,442.0,SIL
17HR-281,454.2,454.0,CHL
17HR-281,454.0,474.0,QSP
17HR-281,454.0,474.0,SIL
17HR-281,482.9,535.6,PRO
17HR-281,535.6,548.0,CHL
17HR-281,548.0,550.0,QSP
17HR-281,548.0,550.0,SIL
17HR-281,562.4,570.0,CHL
17HR-281,570.0,572.0,QSP
17HR-281,570.0,572.0,SIL
17HR-281,581.0,656.0,PRO
17HR-282,0,3.0,FRESH
17HR-282,3.0,31.8,PRO
17HR-282,31.8,47.0,CHL
17HR-282,47.0,49.0,QSP
17HR-282,47.0,49.0,SIL
17HR-282,64.2,65.0,CHL
17HR-282,65.0,133.0,QSP
17HR-282,65.0,133.0,SIL
17HR-282,146.4,167.4,PRO
17HR-282,167.4,179.0,CHL
17HR-282,179.0,181.0,QSP
17HR-282,179.0,181.0,SIL
17HR-282,192.6,215.7,PRO
17HR-282,215.7,229.0,CHL
17HR-282,229.0,249.0,QSP
17HR-282,229.0,249.0,SIL
17HR-282,262.3,373.4,PRO
17HR-282,373.4,385.0,CHL
17HR-282,385.0,391.0,QSP
17HR-282,385.0,391.0,SIL
17HR-283,0,3.0,FRESH
17HR-283,3.0,158.0,PRO
17HR-284,0,4.31,FRESH
17HR-284,4.3,11.4,PRO
17HR-284,11.4,24.0,CHL
17HR-284,24.0,34.0,QSP
17HR-284,24.0,34.0,SIL
17HR-284,46.6,48.0,CHL
17HR-284,48.0,66.0,QSP
17HR-284,48.0,66.0,SIL
17HR-284,78.5,89.1,PRO
17HR-284,89.1,102.0,CHL
17HR-284,102.0,104.0,QSP
17HR-284,102.0,104.0,SIL
17HR-284,116.9,165.0,PRO
17HR-284,165.0,174.0,CHL
17HR-284,174.0,176.0,QSP
17HR-284,174.0,176.0,SIL
17HR-284,185.0,192.0,CHL
17HR-284,192.0,194.0,QSP
17HR-284,192.0,194.0,SIL
17HR-284,209.4,214.0,CHL
17HR-284,214.0,218.0,QSP
17HR-284,214.0,218.0,SIL
17HR-284,229.5,228.0,CHL
17HR-284,228.0,230.0,QSP
17HR-284,228.0,230.0,SIL
17HR-284,240.6,272.6,PRO
17HR-284,272.6,288.0,CHL
17HR-284,288.0,292.0,QSP
17HR-284,288.0,292.0,SIL
17HR-284,307.4,304.0,CHL
17HR-284,304.0,308.0,QSP
17HR-284,304.0,308.0,SIL
17HR-284,319.0,320.0,CHL
17HR-284,320.0,328.0,QSP
17HR-284,320.0,328.0,SIL
17HR-284,342.1,382.7,PRO
17HR-284,382.7,392.0,CHL
17HR-284,392.0,394.0,QSP
17HR-284,392.0,394.0,SIL
17HR-284,403.3,416.0,CHL
17HR-284,416.0,424.0,QSP
17HR-284,416.0,424.0,SIL
17HR-284,439.4,440.0,CHL
17HR-284,440.0,446.0,QSP
17HR-284,440.0,446.0,SIL
17HR-285,0,6.7,FRESH
17HR-285,6.7,108.7,PRO
17HR-285,108.7,120.0,CHL
17HR-285,120.0,126.0,QSP
17HR-285,120.0,126.0,SIL
17HR-285,137.3,140.0,CHL
17HR-285,140.0,154.0,QSP
17HR-285,140.0,154.0,SIL
17HR-285,164.7,164.0,CHL
17HR-285,164.0,176.0,QSP
17HR-285,164.0,176.0,SIL
17HR-285,187.1,186.0,CHL
17HR-285,186.0,206.0,QSP
17HR-285,186.0,206.0,SIL
17HR-285,217.4,226.0,CHL
17HR-285,226.0,238.0,QSP
17HR-285,226.0,238.0,SIL
17HR-285,253.2,252.0,CHL
17HR-285,252.0,254.0,QSP
17HR-285,252.0,254.0,SIL
17HR-285,265.4,266.0,CHL
17HR-285,266.0,268.0,QSP
17HR-285,266.0,268.0,SIL
17HR-285,281.9,288.0,CHL
17HR-285,288.0,316.0,QSP
17HR-285,288.0,316.0,SIL
17HR-285,330.8,383.8,PRO
17HR-285,383.8,396.0,CHL
17HR-285,396.0,398.0,QSP
17HR-285,396.0,398.0,SIL
17HR-285,410.2,452.0,PRO
17HR-286,0,2.9,FRESH
17HR-286,2.9,86.2,PRO
17HR-286,86.2,98.0,CHL
17HR-286,98.0,102.0,QSP
17HR-286,98.0,102.0,SIL
17HR-286,113.8,125.0,PRO
17HR-286,125.0,138.0,CHL
17HR-286,138.0,162.0,QSP
17HR-286,138.0,162.0,SIL
17HR-286,175.0,178.0,CHL
17HR-286,178.0,186.0,QSP
17HR-286,178.0,186.0,SIL
17HR-286,194.5,232.3,PRO
17HR-286,232.3,242.0,CHL
17HR-286,242.0,250.0,QSP
17HR-286,242.0,250.0,SIL
17HR-286,259.7,314.0,PRO
17HR-287,0,3.0,FRESH
17HR-287,3.0,122.5,PRO
17HR-287,122.5,136.0,CHL
17HR-287,136.0,138.0,QSP
17HR-287,136.0,138.0,SIL
17HR-287,151.5,153.2,PRO
17HR-287,153.2,162.0,CHL
17HR-287,162.0,176.0,QSP
17HR-287,162.0,176.0,SIL
17HR-287,184.8,190.0,CHL
17HR-287,190.0,222.0,QSP
17HR-287,190.0,222.0,SIL
17HR-287,231.1,345.6,PRO
17HR-287,345.6,358.0,CHL
17HR-287,358.0,364.0,QSP
17HR-287,358.0,364.0,SIL
17HR-287,376.4,427.2,PRO
17HR-287,427.2,438.0,CHL
17HR-287,438.0,440.0,QSP
17HR-287,438.0,440.0,SIL
17HR-287,450.8,454.0,CHL
17HR-287,454.0,460.0,QSP
17HR-287,454.0,460.0,SIL
17HR-287,473.3,638.0,PRO
17HR-288,0.0,7.0,CHL
17HR-288,7.0,25.0,QSP
17HR-288,7.0,25.0,SIL
17HR-288,35.9,93.8,PRO
17HR-288,93.8,105.0,CHL
17HR-288,105.0,107.0,QSP
17HR-288,105.0,107.0,SIL
17HR-288,118.2,132.3,PRO
17HR-288,132.3,143.0,CHL
17HR-288,143.0,153.0,QSP
17HR-288,143.0,153.0,SIL
17HR-288,163.7,163.0,CHL
17HR-288,163.0,181.0,QSP
17HR-288,163.0,181.0,SIL
17HR-288,194.0,198.6,PRO
17HR-288,198.6,213.0,CHL
17HR-288,213.0,215.0,QSP
17HR-288,213.0,215.0,SIL
17HR-288,227.0,225.0,CHL
17HR-288,225.0,227.0,QSP
17HR-288,225.0,227.0,SIL
17HR-289,0,7.6,FRESH
17HR-289,7.6,11.0,CHL
17HR-289,11.0,13.0,QSP
17HR-289,11.0,13.0,SIL
17HR-289,26.5,31.0,CHL
17HR-289,31.0,33.0,QSP
17HR-289,31.0,33.0,SIL
17HR-289,43.7,51.0,CHL
17HR-289,51.0,67.0,QSP
17HR-289,51.0,67.0,SIL
17HR-289,78.9,90.0,PRO
17HR-289,90.0,103.0,CHL
17HR-289,103.0,107.0,QSP
17HR-289,103.0,107.0,SIL
17HR-289,120.0,129.1,PRO
17HR-289,129.1,143.0,CHL
17HR-289,143.0,145.0,QSP
17HR-289,143.0,145.0,SIL
17HR-289,158.9,169.0,CHL
17HR-289,169.0,185.0,QSP
17HR-289,169.0,185.0,SIL
17HR-289,198.4,242.33,PRO
17HR-290,0.0,5.0,CHL
17HR-290,5.0,33.0,QSP
17HR-290,5.0,33.0,SIL
17HR-290,46.1,43.0,CHL
17HR-290,43.0,45.0,QSP
17HR-290,43.0,45.0,SIL
17HR-290,56.4,55.0,CHL
17HR-290,55.0,59.0,QSP
17HR-290,55.0,59.0,SIL
17HR-290,71.7,77.0,CHL
17HR-290,77.0,79.0,QSP
17HR-290,77.0,79.0,SIL
17HR-290,92.4,124.3,PRO
17HR-290,124.3,135.0,CHL
17HR-290,135.0,137.0,QSP
17HR-290,135.0,137.0,SIL
17HR-290,147.7,149.2,PRO
17HR-290,149.2,163.0,CHL
17HR-290,163.0,217.0,QSP
17HR-290,163.0,217.0,SIL
17HR-290,230.8,440.0,PRO
17HR-291,0.0,94.9,PRO
17HR-291,94.9,105.0,CHL
17HR-291,105.0,111.0,QSP
17HR-291,105.0,111.0,SIL
17HR-291,121.1,158.8,PRO
17HR-291,158.8,169.0,CHL
17HR-291,169.0,171.0,QSP
17HR-291,169.0,171.0,SIL
17HR-291,181.2,287.0,PRO
17HR-292,0,2.8,FRESH
17HR-292,2.8,2.8,CHL
17HR-292,2.8,8.0,QSP
17HR-292,2.8,8.0,SIL
17HR-292,17.1,20.0,CHL
17HR-292,20.0,26.0,QSP
17HR-292,20.0,26.0,SIL
17HR-292,40.1,52.0,CHL
17HR-292,52.0,54.0,QSP
17HR-292,52.0,54.0,SIL
17HR-292,67.2,73.1,PRO
17HR-292,73.1,86.0,CHL
17HR-292,86.0,124.0,QSP
17HR-292,86.0,124.0,SIL
17HR-292,136.9,209.0,PRO
17HR-293,0.0,13.0,PRO
17HR-293,13.0,22.0,CHL
17HR-293,22.0,26.0,QSP
17HR-293,22.0,26.0,SIL
17HR-293,35.0,42.2,PRO
17HR-293,42.2,52.0,CHL
17HR-293,52.0,82.0,QSP
17HR-293,52.0,82.0,SIL
17HR-293,91.8,98.0,CHL
17HR-293,98.0,102.0,QSP
17HR-293,98.0,102.0,SIL
17HR-293,110.9,192.4,PRO
17HR-293,192.4,204.0,CHL
17HR-293,204.0,210.0,QSP
17HR-293,204.0,210.0,SIL
17HR-293,221.6,228.0,CHL
17HR-293,228.0,232.0,QSP
17HR-293,228.0,232.0,SIL
17HR-293,245.5,250.0,CHL
17HR-293,250.0,254.0,QSP
17HR-293,250.0,254.0,SIL
17HR-293,263.8,269.4,PRO
17HR-293,269.4,280.0,CHL
17HR-293,280.0,290.0,QSP
17HR-293,280.0,290.0,SIL
17HR-293,300.6,306.0,CHL
17HR-293,306.0,318.0,QSP
17HR-293,306.0,318.0,SIL
17HR-293,329.8,338.0,CHL
17HR-293,338.0,346.0,QSP
17HR-293,338.0,346.0,SIL
17HR-293,354.4,500.45,PRO
17HR-294,0.0,7.9,PRO
17HR-294,7.9,21.0,CHL
17HR-294,21.0,33.0,QSP
17HR-294,21.0,33.0,SIL
17HR-294,46.1,45.0,CHL
17HR-294,45.0,65.0,QSP
17HR-294,45.0,65.0,SIL
17HR-294,79.0,87.0,CHL
17HR-294,87.0,101.0,QSP
17HR-294,87.0,101.0,SIL
17HR-294,110.5,149.7,PRO
17HR-294,149.7,165.0,CHL
17HR-294,165.0,167.0,QSP
17HR-294,165.0,167.0,SIL
17HR-294,182.3,488.0,PRO
17HR-295,0.0,3.0,CHL
17HR-295,3.0,9.0,QSP
17HR-295,3.0,9.0,SIL
17HR-295,20.9,302.0,PRO
17HR-296,0.0,6.0,CHL
17HR-296,6.0,46.0,QSP
17HR-296,6.0,46.0,SIL
17HR-296,61.3,79.6,PRO
17HR-296,79.6,94.0,CHL
17HR-296,94.0,96.0,QSP
17HR-296,94.0,96.0,SIL
17HR-296,110.4,112.0,CHL
17HR-296,112.0,116.0,QSP
17HR-296,112.0,116.0,SIL
17HR-296,129.1,155.5,PRO
17HR-296,155.5,166.0,CHL
17HR-296,166.0,168.0,QSP
17HR-296,166.0,168.0,SIL
17HR-296,178.5,182.0,CHL
17HR-296,182.0,184.0,QSP
17HR-296,182.0,184.0,SIL
17HR-296,192.5,413.21,PRO
17HR-297,0.0,3.0,CHL
17HR-297,3.0,33.0,QSP
17HR-297,3.0,33.0,SIL
17HR-297,47.9,61.0,CHL
17HR-297,61.0,63.0,QSP
17HR-297,61.0,63.0,SIL
17HR-297,77.9,94.0,PRO
17HR-297,94.0,103.0,CHL
17HR-297,103.0,105.0,QSP
17HR-297,103.0,105.0,SIL
17HR-297,114.0,155.3,PRO
17HR-297,155.3,167.0,CHL
17HR-297,167.0,169.0,QSP
17HR-297,167.0,169.0,SIL
17HR-297,180.7,196.8,PRO
17HR-297,196.8,207.0,CHL
17HR-297,207.0,209.0,QSP
17HR-297,207.0,209.0,SIL
17HR-297,219.2,231.0,CHL
17HR-297,231.0,243.0,QSP
17HR-297,231.0,243.0,SIL
17HR-297,255.9,257.0,CHL
17HR-297,257.0,273.0,QSP
17HR-297,257.0,273.0,SIL
17HR-297,281.8,338.0,PRO
17HR-298,0,2.73,FRESH
17HR-298,2.7,12.0,CHL
17HR-298,12.0,14.0,QSP
17HR-298,12.0,14.0,SIL
17HR-298,28.5,24.0,CHL
17HR-298,24.0,36.0,QSP
17HR-298,24.0,36.0,SIL
17HR-298,47.4,80.5,PRO
17HR-298,80.5,90.0,CHL
17HR-298,90.0,124.0,QSP
17HR-298,90.0,124.0,SIL
17HR-298,133.5,134.0,CHL
17HR-298,134.0,146.0,QSP
17HR-298,134.0,146.0,SIL
17HR-298,157.3,164.1,PRO
17HR-298,164.1,174.0,CHL
17HR-298,174.0,176.0,QSP
17HR-298,174.0,176.0,SIL
17HR-298,185.9,194.4,PRO
17HR-298,194.4,208.0,CHL
17HR-298,208.0,212.0,QSP
17HR-298,208.0,212.0,SIL
17HR-298,225.6,232.0,CHL
17HR-298,232.0,234.0,QSP
17HR-298,232.0,234.0,SIL
17HR-298,247.3,251.2,PRO
17HR-298,251.2,264.0,CHL
17HR-298,264.0,266.0,QSP
17HR-298,264.0,266.0,SIL
17HR-298,278.8,276.0,CHL
17HR-298,276.0,284.0,QSP
17HR-298,276.0,284.0,SIL
17HR-298,299.5,340.1,PRO
17HR-298,340.1,350.0,CHL
17HR-298,350.0,352.0,QSP
17HR-298,350.0,352.0,SIL
17HR-298,361.9,374.0,PRO
17HR-299,0.0,10.4,PRO
17HR-299,10.4,24.0,CHL
17HR-299,24.0,28.0,QSP
17HR-299,24.0,28.0,SIL
17HR-299,41.6,119.8,PRO
17HR-299,119.8,134.0,CHL
17HR-299,134.0,136.0,QSP
17HR-299,134.0,136.0,SIL
17HR-299,150.2,164.0,CHL
17HR-299,164.0,186.0,QSP
17HR-299,164.0,186.0,SIL
17HR-299,200.6,202.0,CHL
17HR-299,202.0,204.0,QSP
17HR-299,202.0,204.0,SIL
17HR-299,219.0,214.0,CHL
17HR-299,214.0,226.0,QSP
17HR-299,214.0,226.0,SIL
17HR-299,240.5,236.0,CHL
17HR-299,236.0,238.0,QSP
17HR-299,236.0,238.0,SIL
17HR-299,250.7,260.0,CHL
17HR-299,260.0,284.0,QSP
17HR-299,260.0,284.0,SIL
17HR-299,299.5,312.0,CHL
