hole_id,from,to,mag_avg_si
OR-26-03,50.0,55.0,4.3
OR-26-03,55.0,60.0,3.3
OR-26-03,60.0,65.0,8.55
OR-26-03,65.0,70.0,7.22
OR-26-03,70.0,75.0,2.22
OR-26-03,75.0,80.0,6.65
OR-26-03,80.0,85.0,4.65
OR-26-03,85.0,90.0,4.62
OR-26-03,90.0,95.0,4.32
OR-26-03,95.0,100.0,3.18
OR-26-03,100.0,105.0,2.02
OR-26-03,105.0,110.0,3.96
OR-26-03,110.0,115.0,4.46
OR-26-03,115.0,120.0,1.44
OR-26-03,120.0,125.0,0.23
OR-26-03,125.0,130.0,1.45
OR-26-03,130.0,135.0,0.35
OR-26-03,135.0,140.0,0.57
OR-26-03,140.0,145.0,30.18
OR-26-03,145.0,150.0,30.19
OR-26-03,150.0,155.0,19.68
OR-26-03,155.0,160.0,9.33
OR-26-03,160.0,165.0,20.78
OR-26-03,165.0,170.0,18.06
OR-26-03,170.0,175.0,32.83
OR-26-03,175.0,180.0,13.21
OR-26-03,180.0,185.0,17.83
OR-26-03,185.0,190.0,32.22
OR-26-03,190.0,195.0,2.21
OR-26-03,195.0,200.0,4.88
OR-26-03,200.0,205.0,7.68
OR-26-03,205.0,210.0,7.37
OR-26-03,210.0,215.0,2.28
OR-26-03,215.0,220.0,2.24
OR-26-03,220.0,225.0,2.44
OR-26-03,225.0,230.0,32.84
OR-26-03,230.0,235.0,14.94
OR-26-03,235.0,240.0,28.18
OR-26-03,240.0,245.0,32.26
OR-26-03,245.0,250.0,4.37
OR-26-03,250.0,255.0,3.91
OR-26-03,255.0,260.0,8.7
OR-26-03,260.0,265.0,6.32
OR-26-03,265.0,270.0,3.84
OR-26-03,270.0,275.0,7.02
OR-26-03,275.0,280.0,4.22
OR-26-03,280.0,285.0,3.93
OR-26-03,285.0,290.0,2.03
OR-26-03,290.0,295.0,7.29
OR-26-03,295.0,300,8.42
OR-26-03,300.0,300,6.44
OR-26-04,0.0,5.0,0.41
OR-26-04,5.0,10.0,1.6
OR-26-04,10.0,15.0,8.51
OR-26-04,15.0,20.0,2.46
OR-26-04,20.0,25.0,4.46
OR-26-04,25.0,30.0,7.29
OR-26-04,30.0,35.0,3.11
OR-26-04,35.0,40.0,8.28
OR-26-04,40.0,45.0,3.92
OR-26-04,45.0,50.0,7.71
OR-26-04,50.0,55.0,3.01
OR-26-04,55.0,60.0,5.52
OR-26-04,60.0,65.0,8.44
OR-26-04,65.0,70.0,3.46
OR-26-04,70.0,75.0,3.84
OR-26-04,75.0,80.0,5.54
OR-26-04,80.0,85.0,4.23
OR-26-04,85.0,90.0,2.26
OR-26-04,90.0,95.0,3.27
OR-26-04,95.0,100.0,3.13
OR-26-04,100.0,105.0,8.55
OR-26-04,105.0,110.0,6.76
OR-26-04,110.0,115.0,8.27
OR-26-04,115.0,120.0,3.18
OR-26-04,120.0,125.0,7.49
OR-26-04,125.0,130.0,2.81
OR-26-04,130.0,135.0,5.72
OR-26-04,135.0,140.0,6.45
OR-26-04,140.0,145.0,4.52
OR-26-04,145.0,150.0,8.11
OR-26-04,150.0,155.0,5.89
OR-26-04,155.0,160.0,6.06
OR-26-04,160.0,165.0,1.33
OR-26-04,165.0,170.0,0.2
OR-26-04,170.0,175.0,1.49
OR-26-04,175.0,180.0,0.96
OR-26-04,180.0,185.0,0.62
OR-26-04,185.0,190.0,1.21
OR-26-04,190.0,195.0,0.43
OR-26-04,195.0,200.0,1.49
OR-26-04,200.0,205.0,0.89
OR-26-04,205.0,210.0,17.73
OR-26-04,210.0,215.0,28.65
OR-26-04,215.0,220.0,19.94
OR-26-04,220.0,225.0,12.77
OR-26-04,225.0,230.0,28.08
OR-26-04,230.0,235.0,9.3
OR-26-04,235.0,240.0,30.14
OR-26-04,240.0,245.0,14.85
OR-26-04,245.0,250.0,25.26
OR-26-04,250.0,255.0,34.57
OR-26-04,255.0,260.0,23.82
OR-26-04,260.0,265.0,25.92
OR-26-04,265.0,270.0,16.44
OR-26-04,270.0,275.0,8.05
OR-26-04,275.0,280.0,8.91
OR-26-04,280.0,285.0,12.03
OR-26-04,285.0,290.0,24.63
OR-26-04,290.0,295.0,19.67
OR-26-04,295.0,300.0,5.59
OR-26-04,300.0,305.0,8.27
OR-26-04,305.0,310.0,2.92
OR-26-04,310.0,315.0,3.59
OR-26-04,315.0,320.0,6.57
OR-26-04,320.0,325.0,2.16
OR-26-04,325.0,330.0,2.02
OR-26-04,330.0,335.0,4.48
OR-26-04,335.0,340.0,2.74
OR-26-04,340.0,345.0,17.64
OR-26-04,345.0,350.0,14.05
OR-26-04,350.0,355.0,23.76
OR-26-04,355.0,360.0,23.91
OR-26-04,360.0,365.0,3.43
OR-26-04,365.0,370.0,6.37
OR-26-04,370.0,375.0,5.32
OR-26-04,375.0,380.0,2.94
OR-26-04,380.0,385.0,8.56
OR-26-04,385.0,390.0,3.71
OR-26-04,390.0,395.0,3.05
OR-26-04,395.0,400,2.67
OR-26-04,400.0,400,6.47
OR-26-05,0.0,5.0,1.09
OR-26-05,5.0,10.0,8.08
OR-26-05,10.0,15.0,5.15
OR-26-05,15.0,20.0,5.88
OR-26-05,20.0,25.0,4.26
OR-26-05,25.0,30.0,5.24
OR-26-05,30.0,35.0,6.82
OR-26-05,35.0,40.0,3.8
OR-26-05,40.0,45.0,3.62
OR-26-05,45.0,50.0,4.34
OR-26-05,50.0,55.0,6.5
OR-26-05,55.0,60.0,6.88
OR-26-05,60.0,65.0,5.55
OR-26-05,65.0,70.0,3.87
OR-26-05,70.0,75.0,7.28
OR-26-05,75.0,80.0,7.79
OR-26-05,80.0,85.0,6.32
OR-26-05,85.0,90.0,7.06
OR-26-05,90.0,95.0,8.82
OR-26-05,95.0,100.0,7.06
OR-26-05,100.0,105.0,6.22
OR-26-05,105.0,110.0,4.44
OR-26-05,110.0,115.0,3.65
OR-26-05,115.0,120.0,1.44
OR-26-05,120.0,125.0,0.43
OR-26-05,125.0,130.0,1.43
OR-26-05,130.0,135.0,1.49
OR-26-05,135.0,140.0,0.29
OR-26-05,140.0,145.0,1.0
OR-26-05,145.0,150.0,13.28
OR-26-05,150.0,155.0,12.08
OR-26-05,155.0,160.0,12.0
OR-26-05,160.0,165.0,16.16
OR-26-05,165.0,170.0,16.03
OR-26-05,170.0,175.0,15.39
OR-26-05,175.0,180.0,10.95
OR-26-05,180.0,185.0,32.61
OR-26-05,185.0,190.0,15.58
OR-26-05,190.0,195.0,31.9
OR-26-05,195.0,200.0,20.53
OR-26-05,200.0,205.0,2.09
OR-26-05,205.0,210.0,7.98
OR-26-05,210.0,215.0,5.06
OR-26-05,215.0,220.0,3.56
OR-26-05,220.0,225.0,8.87
OR-26-05,225.0,230.0,4.07
OR-26-05,230.0,235.0,2.15
OR-26-05,235.0,240.0,14.94
OR-26-05,240.0,245.0,27.93
OR-26-05,245.0,250.0,8.15
OR-26-05,250.0,255.0,3.7
OR-26-05,255.0,260.0,7.97
OR-26-05,260.0,265.0,6.91
OR-26-05,265.0,270.0,6.11
OR-26-05,270.0,275.0,6.53
OR-26-05,275.0,280,7.92
OR-26-05,280.0,280,6.68
OR-26-06,0.0,5.0,1.06
OR-26-06,5.0,10.0,0.62
OR-26-06,10.0,15.0,1.06
OR-26-06,15.0,20.0,8.82
OR-26-06,20.0,25.0,6.58
OR-26-06,25.0,30.0,7.54
OR-26-06,30.0,35.0,4.32
OR-26-06,35.0,40.0,4.22
OR-26-06,40.0,45.0,4.09
OR-26-06,45.0,50.0,6.11
OR-26-06,50.0,55.0,6.44
OR-26-06,55.0,60.0,7.49
OR-26-06,60.0,65.0,2.28
OR-26-06,65.0,70.0,7.06
OR-26-06,70.0,75.0,8.2
OR-26-06,75.0,80.0,5.82
OR-26-06,80.0,85.0,2.35
OR-26-06,85.0,90.0,4.1
OR-26-06,90.0,95.0,2.04
OR-26-06,95.0,100.0,3.33
OR-26-06,100.0,105.0,1.39
OR-26-06,105.0,110.0,0.93
OR-26-06,110.0,115.0,1.0
OR-26-06,115.0,120.0,1.19
OR-26-06,120.0,125.0,1.37
OR-26-06,125.0,130.0,24.52
OR-26-06,130.0,135.0,24.65
OR-26-06,135.0,140.0,24.92
OR-26-06,140.0,145.0,26.8
OR-26-06,145.0,150.0,24.1
OR-26-06,150.0,155.0,26.39
OR-26-06,155.0,160.0,13.74
OR-26-06,160.0,165.0,26.01
OR-26-06,165.0,170.0,20.36
OR-26-06,170.0,175.0,7.34
OR-26-06,175.0,180.0,2.71
OR-26-06,180.0,185.0,3.27
OR-26-06,185.0,190.0,2.26
OR-26-06,190.0,195.0,7.42
OR-26-06,195.0,200.0,8.4
OR-26-06,200.0,205.0,25.7
OR-26-06,205.0,210.0,17.96
OR-26-06,210.0,215.0,30.21
OR-26-06,215.0,220.0,29.24
OR-26-06,220.0,225.0,5.93
OR-26-06,225.0,230.0,3.81
OR-26-06,230.0,235.0,4.11
OR-26-06,235.0,240.0,4.95
OR-26-06,240.0,245.0,4.23
OR-26-06,245.0,250.0,5.01
OR-26-06,250.0,255.0,6.49
OR-26-06,255.0,260,8.54
OR-26-06,260.0,260,2.38
