hole_id,from,to,Au_ppm,Ag_ppm,Cu_pct,Pb_pct,Zn_pct,As_ppm,Al_pct,Fe_pct,Mg_pct,Ca_pct,Na_pct,K_pct,Ti_pct
OR-26-01,76.0,78.0,0.02,0.1,0.011,0.003,0.013,2.6,8.01,7.27,3.83,5.9,3.73,1.03,0.62
OR-26-01,78.0,80.0,0.006,0.03,0.006,0.003,0.01,13.3,9.55,6.82,2.66,4.96,2.97,1.94,0.54
OR-26-01,80.0,82.0,0.003,0.02,0.007,0.002,0.011,2.1,9.24,7.02,3.5,6.54,3.36,1.15,0.92
OR-26-01,82.0,84.0,0.007,0.02,0.009,0.001,0.008,8.5,8.65,6.19,3.98,5.52,2.8,1.97,0.83
OR-26-01,84.0,86.0,0.01,0.05,0.006,0.005,0.031,6.6,8.52,7.33,3.89,4.32,3.27,1.74,0.61
OR-26-01,86.0,88.0,0.009,0.03,0.004,0.001,0.013,1.9,8.37,5.94,2.41,6.39,3.21,1.08,0.55
OR-26-01,88.0,90.0,0.009,0.04,0.004,0.002,0.015,2.1,8.71,6.25,3.73,6.99,2.97,1.24,0.86
OR-26-01,90.0,92.0,0.023,0.12,0.003,0.001,0.011,3.8,9.82,5.27,3.24,5.11,3.16,1.18,0.64
OR-26-01,92.0,94.0,0.015,0.04,0.006,0.003,0.024,6.8,9.81,6.86,3.65,4.48,3.52,1.27,0.7
OR-26-01,94.0,96.0,0.007,0.03,0.007,0.002,0.007,4.3,8.08,7.51,2.24,5.8,3.22,1.75,0.65
OR-26-01,96.0,98.0,0.009,0.03,0.009,0.002,0.011,3.3,9.53,7.34,2.92,4.54,3.12,1.13,0.56
OR-26-01,98.0,100.0,0.01,0.04,0.007,0.003,0.013,6.0,8.11,6.51,2.76,6.85,2.68,2.03,1.0
OR-26-01,100.0,102.0,0.04,0.11,0.015,0.001,0.007,5.8,9.63,5.43,3.0,6.76,2.77,1.32,0.75
OR-26-01,102.0,104.0,0.009,0.02,0.029,0.001,0.005,1.1,9.11,6.74,3.77,4.31,3.79,1.76,0.7
OR-26-01,104.0,106.0,0.017,0.1,0.007,0.002,0.017,4.3,9.64,5.76,3.28,6.95,3.26,1.8,0.66
OR-26-01,106.0,108.0,0.004,0.02,0.007,0.002,0.007,2.8,8.71,5.67,3.17,5.77,2.77,1.75,0.74
OR-26-01,108.0,110.0,0.008,0.02,0.017,0.003,0.017,3.7,9.29,6.33,3.87,6.2,2.82,2.08,0.52
OR-26-01,110.0,112.0,0.012,0.04,0.003,0.003,0.011,2.0,8.6,5.15,3.78,6.35,3.43,1.01,0.92
OR-26-01,112.0,114.0,0.747,9.28,0.046,0.005,0.041,7.5,9.39,7.54,3.42,4.8,3.22,1.52,0.89
OR-26-01,114.0,116.0,0.386,4.41,0.034,0.05,0.136,12.5,9.82,6.89,3.39,6.0,3.77,1.56,0.92
OR-26-01,116.0,118.0,3.132,29.35,0.093,0.017,0.059,13.2,8.06,5.12,3.39,5.9,3.41,1.88,0.53
OR-26-01,118.0,120.0,0.458,6.03,0.027,0.068,0.235,12.4,8.2,7.27,2.41,4.96,3.05,1.03,0.63
OR-26-01,120.0,122.0,0.809,11.53,0.381,0.195,0.663,61.3,5.04,5.82,1.31,0.48,0.7,1.73,0.45
OR-26-01,122.0,124.0,0.35,8.62,0.347,0.057,0.209,166.7,6.83,4.13,0.82,1.11,0.45,1.77,0.39
OR-26-01,124.0,126.0,14.694,274.41,0.264,0.022,0.124,52.1,6.7,5.0,1.07,1.35,0.26,2.65,0.36
OR-26-01,126.0,128.0,17.591,334.0,0.27,0.303,1.448,62.1,5.74,3.5,1.19,1.35,0.27,1.98,0.29
OR-26-01,128.0,130.0,27.921,296.75,0.196,0.065,0.313,67.3,6.93,5.91,0.65,1.45,0.17,2.46,0.5
OR-26-01,130.0,132.0,20.021,308.2,0.116,0.073,0.255,31.1,6.37,5.77,1.25,1.02,0.42,1.85,0.38
OR-26-01,132.0,134.0,1.598,37.45,0.294,0.245,1.067,315.5,6.56,5.72,1.46,0.79,0.32,3.07,0.23
OR-26-01,134.0,136.0,1.594,32.08,0.466,0.162,0.442,61.4,6.79,3.73,1.48,1.21,0.37,2.72,0.49
OR-26-01,136.0,138.0,0.53,5.69,0.379,0.283,0.705,94.3,6.49,5.09,1.12,1.43,0.25,3.21,0.32
OR-26-01,138.0,140.0,5.02,124.17,0.298,0.047,0.307,74.2,6.09,4.41,0.9,0.49,0.62,3.85,0.36
OR-26-01,140.0,142.0,0.265,3.89,0.234,1.923,5.169,81.7,4.68,6.86,1.03,1.03,0.67,3.54,0.34
OR-26-01,142.0,144.0,1.376,13.94,0.748,0.324,1.149,49.9,4.56,3.01,1.58,0.57,0.27,2.25,0.34
OR-26-01,144.0,146.0,2.142,41.14,0.579,0.344,2.213,119.7,4.3,3.57,0.85,1.21,0.34,1.88,0.47
OR-26-01,146.0,148.0,0.632,8.79,0.09,0.244,0.726,27.3,8.39,11.12,7.23,7.75,2.68,0.69,1.21
OR-26-01,148.0,150.0,0.228,2.26,0.018,0.008,0.031,23.2,7.01,12.36,6.4,8.25,2.47,0.89,1.3
OR-26-01,150.0,152.0,0.015,0.1,0.078,0.031,0.084,20.6,8.72,10.46,6.42,8.1,2.57,0.45,1.35
OR-26-01,152.0,154.0,0.281,3.73,0.012,0.011,0.063,22.4,8.31,12.17,5.99,7.27,2.1,0.71,1.51
OR-26-01,154.0,156.0,0.012,0.04,0.017,0.006,0.021,4.5,8.25,11.79,6.79,8.72,2.01,0.77,1.37
OR-26-01,156.0,158.0,0.015,0.04,0.019,0.002,0.006,3.6,7.6,10.69,5.96,7.72,2.44,0.95,1.04
OR-26-01,158.0,160.0,0.012,0.03,0.013,0.002,0.021,2.5,8.88,12.92,6.43,7.65,1.9,0.75,1.17
OR-26-01,160.0,162.0,0.015,0.07,0.015,0.004,0.034,5.2,7.92,12.73,5.76,9.86,2.52,0.31,1.01
OR-26-01,162.0,164.0,0.026,0.06,0.004,0.002,0.011,3.8,8.35,9.58,7.39,7.45,2.44,0.74,1.33
OR-26-01,164.0,166.0,0.006,0.03,0.012,0.003,0.009,11.2,7.66,11.42,7.93,9.33,2.4,0.52,1.34
OR-26-01,166.0,168.0,0.021,0.1,0.016,0.002,0.016,2.2,8.17,12.26,7.66,6.17,2.63,0.87,1.69
OR-26-01,168.0,170.0,0.012,0.06,0.016,0.002,0.019,4.4,7.4,12.0,7.8,6.94,2.41,0.77,1.37
OR-26-01,170.0,172.0,0.007,0.04,0.011,0.003,0.015,3.5,8.18,9.76,5.58,6.72,2.5,0.55,1.45
OR-26-01,172.0,174.0,0.009,0.02,0.006,0.002,0.019,3.9,8.04,9.08,5.1,9.96,2.67,0.64,1.45
OR-26-01,174.0,176.0,0.004,0.02,0.005,0.003,0.016,1.1,7.79,9.48,7.88,7.03,2.36,0.75,1.77
OR-26-01,176.0,178.0,0.015,0.06,0.004,0.001,0.003,9.2,8.29,12.94,5.17,6.58,2.55,0.96,1.54
OR-26-01,178.0,180.0,0.007,0.04,0.004,0.002,0.009,2.1,7.29,11.71,5.04,8.87,2.0,0.33,1.74
OR-26-01,180.0,182.0,0.006,0.02,0.008,0.001,0.005,3.9,7.44,9.23,7.14,8.21,1.94,0.91,1.21
OR-26-01,182.0,184.0,0.01,0.03,0.01,0.001,0.006,11.3,7.42,10.91,5.86,7.03,2.0,0.55,1.79
OR-26-01,184.0,186.0,0.006,0.03,0.006,0.002,0.011,5.7,8.14,9.55,5.54,9.08,2.51,0.44,1.06
OR-26-01,186.0,188.0,0.004,0.02,0.005,0.004,0.015,3.7,7.13,11.93,6.22,8.89,1.86,0.87,1.27
OR-26-01,188.0,190.0,0.011,0.06,0.006,0.002,0.009,2.8,7.74,11.38,5.01,8.08,2.25,0.66,1.1
OR-26-01,190.0,192.0,0.037,0.2,0.004,0.001,0.007,3.3,8.06,11.15,5.06,9.87,2.02,0.43,1.08
OR-26-01,192.0,194.0,0.003,0.02,0.008,0.001,0.012,12.7,7.09,9.49,6.48,8.0,2.08,0.39,1.32
OR-26-01,194.0,196.0,0.004,0.02,0.003,0.004,0.014,6.9,7.84,12.36,6.58,7.58,2.74,0.84,1.27
OR-26-01,196.0,198.0,0.007,0.03,0.01,0.003,0.018,4.1,8.06,9.28,6.3,8.02,1.82,0.4,1.78
OR-26-01,198.0,200.0,0.023,0.13,0.008,0.003,0.014,10.5,7.5,11.08,6.3,9.8,2.09,0.51,1.52
OR-26-01,200.0,202.0,0.004,0.02,0.007,0.001,0.01,2.1,7.59,10.63,5.86,6.97,1.89,0.68,1.67
OR-26-01,202.0,204.0,0.014,0.06,0.003,0.002,0.01,3.2,7.48,9.89,6.54,7.53,2.39,0.31,1.28
OR-26-01,204.0,206.0,0.018,0.08,0.007,0.002,0.015,6.6,7.12,10.55,6.32,8.94,1.91,0.46,1.77
OR-26-01,206.0,208.0,0.015,0.05,0.005,0.006,0.022,3.6,8.49,12.04,6.43,9.14,2.51,0.94,1.1
OR-26-01,208.0,210.0,0.021,0.08,0.005,0.004,0.025,3.0,8.45,10.17,6.17,8.22,2.18,0.53,1.63
OR-26-01,210.0,212.0,0.023,0.09,0.005,0.001,0.005,1.0,11.51,6.88,1.81,2.28,2.37,2.02,0.52
OR-26-01,212.0,214.0,0.013,0.07,0.011,0.002,0.012,2.3,10.05,6.84,2.51,2.58,1.15,2.56,0.66
OR-26-01,214.0,216.0,0.013,0.07,0.015,0.003,0.01,2.4,11.45,4.51,1.98,3.94,2.24,2.77,0.54
OR-26-01,216.0,218.0,0.022,0.06,0.005,0.002,0.011,4.7,10.06,6.98,2.45,1.13,1.62,3.18,0.62
OR-26-01,218.0,220.0,0.003,0.02,0.008,0.002,0.011,4.6,11.99,5.72,2.12,1.36,1.24,3.14,0.54
OR-26-01,220.0,222.0,0.007,0.03,0.014,0.001,0.007,2.1,9.3,6.71,2.37,2.05,1.67,2.58,0.52
OR-26-01,222.0,224.0,0.029,0.17,0.006,0.004,0.016,8.5,11.85,4.73,2.08,3.16,1.33,2.46,0.85
OR-26-01,224.0,226.0,0.01,0.03,0.004,0.001,0.007,3.5,10.21,4.2,1.68,3.48,1.53,2.37,0.58
OR-26-01,226.0,228.0,0.008,0.02,0.008,0.001,0.004,0.8,9.38,5.33,2.75,3.41,1.24,2.53,0.79
OR-26-01,228.0,230.0,0.011,0.04,0.002,0.002,0.013,3.8,11.62,4.37,2.27,2.63,1.41,3.16,0.65
OR-26-01,230.0,232.0,0.016,0.05,0.006,0.001,0.007,3.7,10.5,4.89,1.6,1.93,1.34,2.19,0.79
OR-26-01,232.0,234.0,0.008,0.05,0.01,0.003,0.018,2.5,11.1,4.75,2.77,2.06,1.94,2.27,0.55
OR-26-01,234.0,236.0,0.014,0.03,0.005,0.001,0.008,1.9,9.54,6.52,2.36,3.15,1.38,2.65,0.77
OR-26-01,236.0,238.0,0.009,0.05,0.007,0.002,0.009,4.4,11.08,5.18,2.62,3.49,1.42,2.13,0.88
OR-26-01,238.0,240.0,0.004,0.02,0.022,0.002,0.014,4.7,10.54,6.78,1.69,3.29,1.07,3.05,0.82
OR-26-01,240.0,242.0,0.006,0.04,0.009,0.002,0.009,3.0,9.93,4.41,2.56,3.01,1.36,2.36,0.71
OR-26-01,242.0,244.0,0.005,0.02,0.003,0.001,0.005,4.6,11.0,5.8,2.19,3.3,2.25,2.17,0.62
OR-26-01,244.0,246.0,0.009,0.02,0.005,0.002,0.015,2.4,10.09,4.5,1.61,1.03,2.49,3.13,0.53
OR-26-01,246.0,248.0,0.012,0.05,0.006,0.003,0.012,5.0,8.87,11.61,5.75,6.98,1.94,0.32,1.62
OR-26-01,248.0,250.0,0.018,0.05,0.015,0.002,0.015,5.4,7.74,11.2,6.11,9.33,2.04,0.33,1.45
OR-26-01,250.0,252.0,0.023,0.11,0.007,0.002,0.007,1.8,8.94,9.36,5.12,7.76,1.99,0.81,1.0
OR-26-01,252.0,254.0,0.019,0.06,0.009,0.002,0.01,8.9,8.81,9.66,5.89,7.77,2.36,0.54,1.16
OR-26-01,254.0,256.0,0.006,0.02,0.01,0.002,0.007,3.1,7.6,10.37,7.66,6.11,1.99,0.78,1.36
OR-26-01,256.0,258.0,0.008,0.03,0.007,0.001,0.01,8.1,7.22,12.45,5.76,6.38,2.33,0.48,1.39
OR-26-01,258.0,260.0,0.012,0.05,0.003,0.002,0.012,1.5,8.73,11.2,7.14,9.03,1.91,0.99,1.58
OR-26-01,260.0,262.0,0.01,0.06,0.009,0.001,0.007,2.2,8.41,10.7,7.67,8.48,2.67,0.69,1.73
OR-26-01,262.0,264.0,0.018,0.09,0.004,0.003,0.027,2.0,9.84,8.89,3.13,4.81,1.63,1.35,1.08
OR-26-01,264.0,266.0,0.014,0.04,0.005,0.001,0.012,1.6,7.87,8.75,4.14,3.43,2.64,1.34,1.01
OR-26-01,266.0,268.0,0.005,0.02,0.007,0.003,0.014,1.4,8.83,6.3,3.99,3.65,2.66,1.39,0.63
OR-26-01,268.0,270.0,0.007,0.03,0.008,0.001,0.012,4.2,7.82,8.0,3.79,4.71,2.19,1.76,1.2
OR-26-01,270.0,272.0,0.024,0.11,0.006,0.001,0.005,3.4,8.05,8.2,4.22,3.18,1.94,1.12,1.19
OR-26-01,272.0,274.0,0.011,0.03,0.005,0.004,0.02,3.7,7.51,6.27,3.9,3.93,2.44,1.35,1.16
OR-26-01,274.0,276.0,0.012,0.03,0.004,0.001,0.007,2.8,7.83,7.03,3.07,3.49,1.85,1.5,0.73
OR-26-01,276.0,278.0,0.01,0.04,0.016,0.001,0.004,3.7,9.43,9.5,4.02,3.41,1.74,1.34,1.13
OR-26-01,278.0,280.0,0.072,0.21,0.004,0.003,0.014,2.8,8.24,6.18,4.88,4.0,2.14,1.4,0.75
OR-26-01,280.0,282.0,0.011,0.06,0.009,0.002,0.01,3.9,8.8,7.32,5.22,3.77,2.42,1.56,1.07
OR-26-01,282.0,284.0,0.005,0.03,0.006,0.002,0.016,1.3,8.97,9.1,4.09,5.97,1.8,1.56,0.65
OR-26-01,284.0,286.0,0.004,0.02,0.006,0.001,0.004,4.8,9.95,8.0,4.91,4.03,2.54,1.26,0.79
OR-26-01,286.0,288.0,0.014,0.06,0.004,0.001,0.005,3.9,7.76,7.05,4.3,3.69,1.76,1.56,0.99
OR-26-01,288.0,290.0,0.006,0.02,0.003,0.003,0.016,2.9,7.48,8.73,4.79,4.36,2.25,1.68,0.73
OR-26-01,290.0,292.0,0.021,0.11,0.01,0.001,0.004,1.1,7.27,7.36,5.76,5.15,2.65,1.78,0.62
OR-26-01,292.0,294.0,0.003,0.02,0.003,0.001,0.007,0.7,7.36,7.95,3.41,4.29,1.73,1.49,0.69
OR-26-01,294.0,296.0,0.018,0.04,0.005,0.003,0.019,4.6,7.53,7.06,3.21,3.13,2.16,1.21,0.93
OR-26-01,296.0,298.0,0.019,0.08,0.008,0.002,0.015,2.7,8.23,6.57,6.0,3.02,2.29,1.73,0.75
OR-26-01,298.0,300.0,0.013,0.04,0.005,0.003,0.014,3.6,9.91,6.0,5.24,5.56,2.16,1.39,1.2
OR-26-01,300.0,302.0,0.005,0.02,0.005,0.002,0.009,4.3,8.89,8.17,3.67,4.84,1.84,1.71,0.88
OR-26-01,302.0,304.0,0.018,0.07,0.005,0.005,0.024,3.9,7.72,6.69,5.47,4.38,2.33,1.63,1.14
OR-26-01,304.0,306.0,0.005,0.03,0.005,0.002,0.009,6.4,8.36,6.35,4.19,5.99,2.4,1.25,0.89
OR-26-01,306.0,308.0,0.04,0.1,0.009,0.002,0.011,2.5,7.05,6.8,4.71,3.17,1.73,1.52,0.76
OR-26-01,308.0,310.0,0.009,0.05,0.003,0.003,0.016,7.3,8.11,6.18,4.33,4.1,2.43,1.1,0.84
OR-26-01,310.0,312.0,0.025,0.09,0.005,0.005,0.017,4.7,9.0,7.32,3.21,5.27,1.99,1.33,0.9
OR-26-01,312.0,314.0,0.01,0.05,0.006,0.004,0.02,3.6,9.01,8.96,4.21,3.12,2.38,1.35,1.06
OR-26-01,314.0,316.0,0.015,0.04,0.011,0.002,0.016,4.7,8.75,9.99,5.45,5.62,1.69,1.13,0.91
OR-26-01,316.0,318.0,0.008,0.03,0.007,0.002,0.01,5.4,7.61,6.21,4.61,4.12,2.1,1.29,0.95
OR-26-01,318.0,320,0.006,0.02,0.015,0.001,0.006,2.7,7.97,7.09,5.39,3.87,2.42,1.6,0.96
OR-26-02,0.0,2.0,0.013,0.07,0.009,0.003,0.011,2.5,7.51,3.44,2.84,1.41,0.6,1.1,0.54
OR-26-02,2.0,4.0,0.025,0.12,0.008,0.002,0.009,2.2,5.46,5.74,1.65,2.68,0.65,1.8,0.59
OR-26-02,4.0,6.0,0.01,0.04,0.008,0.002,0.012,5.0,7.04,3.34,2.66,1.24,1.42,2.0,0.58
OR-26-02,6.0,8.0,0.012,0.04,0.01,0.002,0.01,3.5,5.42,3.81,2.79,2.69,0.73,1.92,0.31
OR-26-02,8.0,10.0,0.013,0.04,0.006,0.004,0.014,2.7,6.68,3.29,2.1,2.58,1.1,1.46,0.31
OR-26-02,10.0,12.0,0.011,0.05,0.003,0.002,0.009,2.2,11.82,4.99,2.76,3.62,1.72,2.22,0.54
OR-26-02,12.0,14.0,0.011,0.03,0.007,0.002,0.012,2.0,9.61,4.38,1.86,3.61,1.75,3.34,0.51
OR-26-02,14.0,16.0,0.027,0.14,0.008,0.001,0.004,2.6,9.88,6.67,1.63,2.74,1.35,2.89,0.81
OR-26-02,16.0,18.0,0.014,0.04,0.016,0.001,0.005,7.2,10.22,4.26,1.87,3.2,2.02,2.23,0.64
OR-26-02,18.0,20.0,0.007,0.02,0.007,0.003,0.02,7.7,11.36,4.28,2.58,2.05,1.24,3.45,0.77
OR-26-02,20.0,22.0,0.015,0.08,0.024,0.004,0.021,5.7,11.88,5.6,2.92,1.35,2.45,3.18,0.6
OR-26-02,22.0,24.0,0.017,0.05,0.006,0.002,0.01,4.7,11.35,6.38,2.52,3.83,2.24,2.61,0.53
OR-26-02,24.0,26.0,0.029,0.1,0.011,0.001,0.011,5.8,10.81,5.37,2.0,1.64,1.53,3.27,0.75
OR-26-02,26.0,28.0,0.009,0.03,0.009,0.003,0.023,4.0,11.47,4.55,1.91,3.87,1.54,2.34,0.86
OR-26-02,28.0,30.0,0.032,0.11,0.007,0.002,0.018,5.0,10.58,4.0,1.76,3.84,1.68,3.21,0.6
OR-26-02,30.0,32.0,0.009,0.04,0.013,0.001,0.003,4.0,10.87,5.33,2.94,2.09,1.99,2.95,0.65
OR-26-02,32.0,34.0,0.012,0.07,0.007,0.006,0.028,2.7,11.67,6.19,2.62,1.11,1.49,2.21,0.88
OR-26-02,34.0,36.0,0.018,0.08,0.007,0.002,0.008,1.3,9.87,5.63,2.13,3.93,1.97,3.21,0.77
OR-26-02,36.0,38.0,0.022,0.07,0.003,0.002,0.01,5.3,11.22,4.51,1.97,1.16,1.45,2.57,0.89
OR-26-02,38.0,40.0,0.007,0.03,0.004,0.003,0.01,2.5,11.73,5.35,2.76,2.91,2.17,2.47,0.56
OR-26-02,40.0,42.0,0.018,0.08,0.012,0.002,0.008,3.5,10.89,4.78,2.66,1.12,2.24,2.85,0.64
OR-26-02,42.0,44.0,0.021,0.06,0.003,0.004,0.022,4.7,9.92,5.93,2.95,2.9,2.04,3.16,0.66
OR-26-02,44.0,46.0,0.008,0.04,0.006,0.004,0.022,19.5,9.4,5.02,1.6,2.24,1.75,3.28,0.77
OR-26-02,46.0,48.0,0.013,0.06,0.002,0.001,0.004,3.3,11.7,6.23,2.73,2.95,2.32,2.2,0.78
OR-26-02,48.0,50.0,0.019,0.06,0.003,0.002,0.016,2.4,11.03,6.92,2.7,2.08,2.05,2.11,0.84
OR-26-02,50.0,52.0,0.013,0.04,0.003,0.002,0.014,4.8,9.67,5.89,2.01,1.99,1.85,2.33,0.82
OR-26-02,52.0,54.0,0.022,0.05,0.007,0.003,0.018,3.4,9.68,6.6,2.99,3.41,2.44,2.49,0.89
OR-26-02,54.0,56.0,0.005,0.02,0.006,0.003,0.015,1.9,9.85,4.58,2.6,2.55,1.66,2.3,0.78
OR-26-02,56.0,58.0,0.007,0.03,0.008,0.008,0.034,2.3,9.49,5.9,2.99,1.92,1.07,2.26,0.64
OR-26-02,58.0,60.0,0.011,0.03,0.006,0.002,0.012,2.6,10.15,6.44,2.76,1.4,1.02,2.32,0.73
OR-26-02,60.0,62.0,0.011,0.06,0.007,0.002,0.007,3.2,9.62,4.73,2.86,2.15,1.16,2.89,0.55
OR-26-02,62.0,64.0,0.006,0.03,0.01,0.003,0.011,1.4,10.2,6.02,2.57,1.72,1.97,3.04,0.69
OR-26-02,64.0,66.0,0.012,0.04,0.004,0.006,0.024,1.4,9.86,6.92,3.84,4.79,2.7,1.02,0.88
OR-26-02,66.0,68.0,0.014,0.07,0.004,0.003,0.015,4.5,9.6,5.23,2.11,5.64,2.88,1.48,0.5
OR-26-02,68.0,70.0,0.011,0.05,0.004,0.001,0.012,16.1,9.7,5.3,2.74,4.91,3.49,1.18,0.8
OR-26-02,70.0,72.0,0.003,0.02,0.007,0.002,0.009,11.3,8.06,7.04,3.7,5.29,3.64,1.22,0.97
OR-26-02,72.0,74.0,0.009,0.03,0.005,0.002,0.009,4.8,8.5,6.24,2.04,4.69,3.65,2.11,0.66
OR-26-02,74.0,76.0,0.038,0.21,0.012,0.001,0.007,10.1,8.32,6.59,3.3,5.62,3.72,1.49,0.96
OR-26-02,76.0,78.0,0.006,0.02,0.003,0.002,0.009,9.3,8.5,5.77,2.06,6.07,2.77,1.31,0.98
OR-26-02,78.0,80.0,0.016,0.07,0.009,0.001,0.009,1.5,8.28,5.34,2.99,6.91,3.39,1.33,0.88
OR-26-02,80.0,82.0,0.008,0.03,0.005,0.001,0.009,6.5,9.66,5.09,3.66,4.68,3.61,1.96,0.84
OR-26-02,82.0,84.0,0.004,0.02,0.008,0.005,0.022,3.6,8.13,5.04,3.71,4.39,3.75,1.44,0.86
OR-26-02,84.0,86.0,0.007,0.03,0.004,0.003,0.016,4.7,8.39,5.66,2.77,5.1,3.33,1.57,0.93
OR-26-02,86.0,88.0,0.017,0.04,0.006,0.001,0.01,1.6,8.35,5.69,2.88,4.35,2.59,1.43,0.73
OR-26-02,88.0,90.0,0.03,0.07,0.003,0.005,0.017,8.7,8.48,5.51,3.73,4.64,2.61,1.32,0.96
OR-26-02,90.0,92.0,0.01,0.02,0.006,0.001,0.005,3.2,8.02,6.96,3.03,4.07,3.11,1.89,0.77
