hole_id,from,to,rqd_pct
OR-26-06,192.0,195.0,81.5
OR-26-06,195.0,198.0,88.0
OR-26-06,198.0,201.0,78.6
OR-26-06,201.0,204.0,92.4
OR-26-06,204.0,207.0,82.2
OR-26-06,207.0,210.0,73.2
OR-26-06,210.0,213.0,72.3
OR-26-06,213.0,216.0,69.3
OR-26-06,216.0,219.0,80.3
OR-26-06,219.0,222.0,66.8
OR-26-06,222.0,225.0,79.5
OR-26-06,225.0,228.0,69.5
OR-26-06,228.0,231.0,80.2
OR-26-06,231.0,234.0,80.4
OR-26-06,234.0,237.0,81.7
OR-26-06,237.0,240.0,91.7
OR-26-06,240.0,243.0,65.2
OR-26-06,243.0,246.0,91.1
OR-26-06,246.0,249.0,79.5
OR-26-06,249.0,252.0,82.4
OR-26-06,252.0,255.0,85.6
OR-26-06,255.0,258.0,91.1
OR-26-06,258.0,260,76.6
