hole_id,from,to,lithology
FG-0305,0.00,11.19,OBN
FG-0305,11.19,54.19,V1
FG-0305,54.19,104.19,S5
FG-0305,104.19,154.19,V5
FG-0305,154.19,250.00,S4
FG-0306,0.00,9.75,OBN
FG-0306,9.75,52.75,V1
FG-0306,52.75,102.75,S5
FG-0306,102.75,152.75,V5
FG-0306,152.75,250.00,S4
FG-0307,0.00,8.77,OBN
FG-0307,8.77,51.77,V1
FG-0307,51.77,101.77,S5
FG-0307,101.77,151.77,V5
FG-0307,151.77,250.00,S4
FG-0308,0.00,8.42,OBN
FG-0308,8.42,51.42,V1
FG-0308,51.42,101.42,S5
FG-0308,101.42,151.42,V5
FG-0308,151.42,250.00,S4
FG-0309,0.00,8.79,OBN
FG-0309,8.79,51.79,V1
FG-0309,51.79,101.79,S5
FG-0309,101.79,151.79,V5
FG-0309,151.79,250.00,S4
FG-0310,0.00,9.80,OBN
FG-0310,9.80,52.80,V1
FG-0310,52.80,102.80,S5
FG-0310,102.80,152.80,V5
FG-0310,152.80,250.00,S4
FG-0401,0.00,16.00,OBN
FG-0401,16.00,59.00,V1
FG-0401,59.00,109.00,S5
FG-0401,109.00,159.00,V5
FG-0401,159.00,250.00,S4
FG-0402,0.00,15.60,OBN
FG-0402,15.60,58.60,V1
FG-0402,58.60,108.60,S5
FG-0402,108.60,158.60,V5
FG-0402,158.60,250.00,S4
FG-0403,0.00,14.49,OBN
FG-0403,14.49,57.49,V1
FG-0403,57.49,107.49,S5
FG-0403,107.49,157.49,V5
FG-0403,157.49,250.00,S4
FG-0404,0.00,12.88,OBN
FG-0404,12.88,55.88,V1
FG-0404,55.88,105.88,S5
FG-0404,105.88,155.88,V5
FG-0404,155.88,250.00,S4
FG-0405,0.00,11.09,OBN
FG-0405,11.09,54.09,V1
FG-0405,54.09,104.09,S5
FG-0405,104.09,154.09,V5
FG-0405,154.09,250.00,S4
FG-0406,0.00,9.49,OBN
FG-0406,9.49,52.49,V1
FG-0406,52.49,102.49,S5
FG-0406,102.49,152.49,V5
FG-0406,152.49,250.00,S4
FG-0407,0.00,8.38,OBN
FG-0407,8.38,51.38,V1
FG-0407,51.38,101.38,S5
FG-0407,101.38,151.38,V5
FG-0407,151.38,250.00,S4
FG-0408,0.00,8.00,OBN
FG-0408,8.00,51.00,V1
FG-0408,51.00,101.00,S5
FG-0408,101.00,151.00,V5
FG-0408,151.00,250.00,S4
FG-0409,0.00,8.41,OBN
FG-0409,8.41,51.41,V1
FG-0409,51.41,101.41,S5
FG-0409,101.41,151.41,V5
FG-0409,151.41,250.00,S4
FG-0410,0.00,9.54,OBN
FG-0410,9.54,52.54,V1
FG-0410,52.54,102.54,S5
FG-0410,102.54,152.54,V5
FG-0410,152.54,250.00,S4
FG-0501,0.00,15.24,OBN
FG-0501,15.24,58.24,V1
FG-0501,58.24,108.24,S5
FG-0501,108.24,158.24,V5
FG-0501,158.24,250.00,S4
FG-0502,0.00,14.92,OBN
FG-0502,14.92,57.92,V1
FG-0502,57.92,107.92,S5
FG-0502,107.92,157.92,V5
FG-0502,157.92,250.00,S4
FG-0503,0.00,14.02,OBN
FG-0503,14.02,57.02,V1
FG-0503,57.02,107.02,S5
FG-0503,107.02,157.02,V5
FG-0503,157.02,250.00,S4
FG-0504,0.00,12.71,OBN
FG-0504,12.71,55.71,V1
FG-0504,55.71,105.71,S5
FG-0504,105.71,155.71,V5
FG-0504,155.71,250.00,S4
FG-0505,0.00,11.26,OBN
FG-0505,11.26,54.26,V1
FG-0505,54.26,104.26,S5
FG-0505,104.26,154.26,V5
FG-0505,154.26,250.00,S4
FG-0506,0.00,9.96,OBN
FG-0506,9.96,52.96,V1
FG-0506,52.96,102.96,S5
FG-0506,102.96,152.96,V5
FG-0506,152.96,250.00,S4
FG-0507,0.00,9.07,OBN
FG-0507,9.07,52.07,V1
FG-0507,52.07,102.07,S5
FG-0507,102.07,152.07,V5
FG-0507,152.07,250.00,S4
FG-0508,0.00,8.76,OBN
FG-0508,8.76,51.76,V1
FG-0508,51.76,101.76,S5
FG-0508,101.76,151.76,V5
FG-0508,151.76,250.00,S4
FG-0509,0.00,9.09,OBN
FG-0509,9.09,52.09,V1
FG-0509,52.09,102.09,S5
FG-0509,102.09,152.09,V5
FG-0509,152.09,250.00,S4
FG-0510,0.00,10.00,OBN
FG-0510,10.00,53.00,V1
FG-0510,53.00,103.00,S5
FG-0510,103.00,153.00,V5
FG-0510,153.00,250.00,S4
FG-0601,0.00,13.53,OBN
FG-0601,13.53,56.53,V1
FG-0601,56.53,106.53,S5
FG-0601,106.53,156.53,V5
FG-0601,156.53,250.00,S4
FG-0602,0.00,13.38,OBN
FG-0602,13.38,56.38,V1
FG-0602,56.38,106.38,S5
FG-0602,106.38,156.38,V5
FG-0602,156.38,250.00,S4
FG-0603,0.00,12.95,OBN
FG-0603,12.95,55.95,V1
FG-0603,55.95,105.95,S5
FG-0603,105.95,155.95,V5
FG-0603,155.95,250.00,S4
FG-0604,0.00,12.34,OBN
FG-0604,12.34,55.34,V1
FG-0604,55.34,105.34,S5
FG-0604,105.34,155.34,V5
FG-0604,155.34,250.00,S4
FG-0605,0.00,11.65,OBN
FG-0605,11.65,54.65,V1
FG-0605,54.65,104.65,S5
FG-0605,104.65,154.65,V5
FG-0605,154.65,250.00,S4
FG-0606,0.00,11.04,OBN
FG-0606,11.04,54.04,V1
FG-0606,54.04,104.04,S5
FG-0606,104.04,154.04,V5
FG-0606,154.04,250.00,S4
FG-0607,0.00,10.62,OBN
FG-0607,10.62,53.62,V1
FG-0607,53.62,103.62,S5
FG-0607,103.62,153.62,V5
FG-0607,153.62,250.00,S4
FG-0608,0.00,10.47,OBN
FG-0608,10.47,53.47,V1
FG-0608,53.47,103.47,S5
FG-0608,103.47,153.47,V5
FG-0608,153.47,250.00,S4
FG-0609,0.00,10.63,OBN
FG-0609,10.63,53.63,V1
FG-0609,53.63,103.63,S5
FG-0609,103.63,153.63,V5
FG-0609,153.63,250.00,S4
FG-0610,0.00,11.06,OBN
FG-0610,11.06,54.06,V1
FG-0610,54.06,104.06,S5
FG-0610,104.06,154.06,V5
FG-0610,154.06,250.00,S4
FG-0701,0.00,11.37,OBN
FG-0701,11.37,54.37,V1
FG-0701,54.37,104.37,S5
FG-0701,104.37,154.37,V5
FG-0701,154.37,250.00,S4
FG-0702,0.00,11.43,OBN
FG-0702,11.43,54.43,V1
FG-0702,54.43,104.43,S5
FG-0702,104.43,154.43,V5
FG-0702,154.43,250.00,S4
FG-0703,0.00,11.61,OBN
FG-0703,11.61,54.61,V1
FG-0703,54.61,104.61,S5
FG-0703,104.61,154.61,V5
FG-0703,154.61,250.00,S4
FG-0704,0.00,11.86,OBN
FG-0704,11.86,54.86,V1
FG-0704,54.86,104.86,S5
FG-0704,104.86,154.86,V5
FG-0704,154.86,250.00,S4
FG-0705,0.00,12.14,OBN
FG-0705,12.14,55.14,V1
FG-0705,55.14,105.14,S5
FG-0705,105.14,155.14,V5
FG-0705,155.14,250.00,S4
FG-0706,0.00,12.40,OBN
FG-0706,12.40,55.40,V1
FG-0706,55.40,105.40,S5
FG-0706,105.40,155.40,V5
FG-0706,155.40,250.00,S4
FG-0707,0.00,12.57,OBN
FG-0707,12.57,55.57,V1
FG-0707,55.57,105.57,S5
FG-0707,105.57,155.57,V5
FG-0707,155.57,250.00,S4
FG-0708,0.00,12.63,OBN
FG-0708,12.63,55.63,V1
FG-0708,55.63,105.63,S5
FG-0708,105.63,155.63,V5
FG-0708,155.63,250.00,S4
FG-0709,0.00,12.57,OBN
FG-0709,12.57,55.57,V1
FG-0709,55.57,105.57,S5
FG-0709,105.57,155.57,V5
FG-0709,155.57,250.00,S4
FG-0710,0.00,12.39,OBN
FG-0710,12.39,55.39,V1
FG-0710,55.39,105.39,S5
FG-0710,105.39,155.39,V5
FG-0710,155.39,250.00,S4
FG-0801,0.00,9.39,OBN
FG-0801,9.39,52.39,V1
FG-0801,52.39,102.39,S5
FG-0801,102.39,152.39,V5
FG-0801,152.39,250.00,S4
FG-0802,0.00,9.65,OBN
FG-0802,9.65,52.65,V1
FG-0802,52.65,102.65,S5
FG-0802,102.65,152.65,V5
FG-0802,152.65,250.00,S4
FG-0803,0.00,10.38,OBN
FG-0803,10.38,53.38,V1
FG-0803,53.38,103.38,S5
FG-0803,103.38,153.38,V5
FG-0803,153.38,250.00,S4
FG-0804,0.00,11.43,OBN
FG-0804,11.43,54.43,V1
FG-0804,54.43,104.43,S5
FG-0804,104.43,154.43,V5
FG-0804,154.43,250.00,S4
FG-0805,0.00,12.59,OBN
FG-0805,12.59,55.59,V1
FG-0805,55.59,105.59,S5
FG-0805,105.59,155.59,V5
FG-0805,155.59,250.00,S4
FG-0806,0.00,13.64,OBN
FG-0806,13.64,56.64,V1
FG-0806,56.64,106.64,S5
FG-0806,106.64,156.64,V5
FG-0806,156.64,250.00,S4
FG-0807,0.00,14.36,OBN
FG-0807,14.36,57.36,V1
FG-0807,57.36,107.36,S5
FG-0807,107.36,157.36,V5
FG-0807,157.36,250.00,S4
FG-0808,0.00,14.61,OBN
FG-0808,14.61,57.61,V1
FG-0808,57.61,107.61,S5
FG-0808,107.61,157.61,V5
FG-0808,157.61,250.00,S4
FG-0809,0.00,14.34,OBN
FG-0809,14.34,57.34,V1
FG-0809,57.34,107.34,S5
FG-0809,107.34,157.34,V5
FG-0809,157.34,250.00,S4
FG-0810,0.00,13.61,OBN
FG-0810,13.61,56.61,V1
FG-0810,56.61,106.61,S5
FG-0810,106.61,156.61,V5
FG-0810,156.61,250.00,S4
FG-0901,0.00,8.18,OBN
FG-0901,8.18,51.18,V1
FG-0901,51.18,101.18,S5
FG-0901,101.18,151.18,V5
FG-0901,151.18,250.00,S4
FG-0902,0.00,8.56,OBN
FG-0902,8.56,51.56,V1
FG-0902,51.56,101.56,S5
FG-0902,101.56,151.56,V5
FG-0902,151.56,250.00,S4
FG-0903,0.00,9.63,OBN
FG-0903,9.63,52.63,V1
FG-0903,52.63,102.63,S5
FG-0903,102.63,152.63,V5
FG-0903,152.63,250.00,S4
FG-0904,0.00,11.16,OBN
FG-0904,11.16,54.16,V1
FG-0904,54.16,104.16,S5
FG-0904,104.16,154.16,V5
FG-0904,154.16,250.00,S4
FG-0905,0.00,12.87,OBN
FG-0905,12.87,55.87,V1
FG-0905,55.87,105.87,S5
FG-0905,105.87,155.87,V5
FG-0905,155.87,250.00,S4
FG-0906,0.00,14.40,OBN
FG-0906,14.40,57.40,V1
FG-0906,57.40,107.40,S5
FG-0906,107.40,157.40,V5
FG-0906,157.40,250.00,S4
FG-0907,0.00,15.45,OBN
FG-0907,15.45,58.45,V1
FG-0907,58.45,108.45,S5
FG-0907,108.45,158.45,V5
FG-0907,158.45,250.00,S4
FG-0908,0.00,15.82,OBN
FG-0908,15.82,58.82,V1
FG-0908,58.82,108.82,S5
FG-0908,108.82,158.82,V5
FG-0908,158.82,250.00,S4
FG-0909,0.00,15.42,OBN
FG-0909,15.42,58.42,V1
FG-0909,58.42,108.42,S5
FG-0909,108.42,158.42,V5
FG-0909,158.42,250.00,S4
FG-0910,0.00,14.35,OBN
FG-0910,14.35,57.35,V1
FG-0910,57.35,107.35,S5
FG-0910,107.35,157.35,V5
FG-0910,157.35,250.00,S4
FG-1001,0.00,8.10,OBN
FG-1001,8.10,51.10,V1
FG-1001,51.10,101.10,S5
FG-1001,101.10,151.10,V5
FG-1001,151.10,250.00,S4
FG-1002,0.00,8.49,OBN
FG-1002,8.49,51.49,V1
FG-1002,51.49,101.49,S5
FG-1002,101.49,151.49,V5
FG-1002,151.49,250.00,S4
FG-1003,0.00,9.58,OBN
FG-1003,9.58,52.58,V1
FG-1003,52.58,102.58,S5
FG-1003,102.58,152.58,V5
FG-1003,152.58,250.00,S4
FG-1004,0.00,11.15,OBN
FG-1004,11.15,54.15,V1
FG-1004,54.15,104.15,S5
FG-1004,104.15,154.15,V5
FG-1004,154.15,250.00,S4
FG-1005,0.00,12.89,OBN
FG-1005,12.89,55.89,V1
FG-1005,55.89,105.89,S5
FG-1005,105.89,155.89,V5
FG-1005,155.89,250.00,S4
FG-1006,0.00,14.45,OBN
FG-1006,14.45,57.45,V1
FG-1006,57.45,107.45,S5
FG-1006,107.45,157.45,V5
FG-1006,157.45,250.00,S4
FG-1007,0.00,15.53,OBN
FG-1007,15.53,58.53,V1
FG-1007,58.53,108.53,S5
FG-1007,108.53,158.53,V5
FG-1007,158.53,250.00,S4
FG-1008,0.00,15.90,OBN
FG-1008,15.90,58.90,V1
FG-1008,58.90,108.90,S5
FG-1008,108.90,158.90,V5
FG-1008,158.90,250.00,S4
FG-1009,0.00,15.50,OBN
FG-1009,15.50,58.50,V1
FG-1009,58.50,108.50,S5
FG-1009,108.50,158.50,V5
FG-1009,158.50,250.00,S4
FG-1010,0.00,14.40,OBN
FG-1010,14.40,57.40,V1
FG-1010,57.40,107.40,S5
FG-1010,107.40,157.40,V5
FG-1010,157.40,250.00,S4
